site_id,lat,lon,method,source_id
SITE_23_25_WATERLOO,-33.78675,151.13186,planning_portal_point,SRC_NSWPORTAL_SSD91297457
SITE_43_61_TURNER,-34.028123,150.762135,planning_portal_point,SRC_NSWPORTAL_SSD68013714
SITE_51_HUNTINGWOOD,-33.798627,150.876,planning_portal_point,SRC_NSWPORTAL_SSD41589232
SITE_ALDINGTON,-33.8558259,151.1985993,planning_portal_point,SRC_NSWPORTAL_SSD112059740
SITE_APOLLO_PLACE,-33.808529,151.145285,planning_portal_point,SRC_NSWPORTAL_SSD67407231
SITE_AUGUSTA_ST,-33.802417,150.907774,planning_portal_point,SRC_NSWPORTAL_SSD10469
SITE_BROOKHOLLOW,-33.4356,150.5802,planning_portal_point,SRC_NSWPORTAL_SSD81928961
SITE_CDC_MARSDEN,-33.722607,150.836328,planning_portal_point,SRC_NSWPORTAL_SSD70889211
SITE_DAVIS_RD_CUNDALL,-33.836578,150.904168,planning_portal_point,SRC_SSD59416728_CONSENT
SITE_DCI_POPLARS,-35.3814,149.1935,planning_portal_point,SRC_DCI_POPLARS_CONSENT
SITE_DICKER_DATA,-34.023629,151.199019,planning_portal_point,SRC_NSWPORTAL_SSD8662
SITE_DIGICO_SYD1,-33.875,151.197,planning_portal_point,SRC_NSWPORTAL_SSD69637456
SITE_ECHIDNA,-33.81174,150.83802,planning_portal_point,SRC_NSWPORTAL_ECHIDNA
SITE_EC_EXPANSION,-33.804959,150.886074,planning_portal_point,SRC_NSWPORTAL_SSD21342738
SITE_FREDERICK_ST,-33.819089,151.189578,planning_portal_point,SRC_NSWPORTAL_SSD139545990
SITE_GLENDENNING,-33.75991,150.85192,planning_portal_point,SRC_NSWPORTAL_GLEN
SITE_GOODMAN_ATLAS,-33.81738,150.8369,planning_portal_point,SRC_NSWPORTAL_SSD101067971
SITE_GRAND_AVE,-33.823588,151.033552,planning_portal_point,SRC_NSWPORTAL_SSD53338465
SITE_JULIUS_AVE,-33.798462,151.143104,planning_portal_point,SRC_NSWPORTAL_SSD80018208
SITE_KC1,-33.84775,150.78215,planning_portal_point,SRC_NSWPORTAL_SSD133677993
SITE_KHARTOUM,-33.77923,151.1249,planning_portal_point,SRC_NSWPORTAL_SSD63235720
SITE_KURRI_KURRI,-32.790799,151.479337,planning_portal_point,SRC_NSWPORTAL_SSD128819490
SITE_LANCELEY,-33.818441,151.190041,planning_portal_point,SRC_NSWPORTAL_SSD66777221
SITE_LANE_COVE_MARS,-33.80862045288086,151.1457977294922,planning_portal_point,SRC_NSWPORTAL_SSD108835458
SITE_LANE_COVE_WEST,-33.807589,151.144911,planning_portal_point,SRC_NSWPORTAL_SSD9741
SITE_MACQUARIE_PARK_DC,-33.779961,151.126549,planning_portal_point,SRC_NSWPORTAL_SSD10467
SITE_MAMRE_ROAD,-33.833794,150.784825,planning_portal_point,SRC_NSWPORTAL_SSD92743706
SITE_MOWBRAY_RD,-33.80404,151.14847,planning_portal_point,SRC_NSWPORTAL_SSD13475973
SITE_MSFT_HONEMAN,-33.799976,150.896042,planning_portal_point,SRC_NSWPORTAL_SSD58601963
SITE_MSFT_KEMPS,-33.83614,150.78015,planning_portal_point,SRC_NSWPORTAL_KC
SITE_NEXTDC_S4,-33.82784,150.82457,planning_portal_point,SRC_NSWPORTAL_SSD63741210
SITE_NEXTDC_S4_P2,-33.831375,150.826224,planning_portal_point,SRC_NSWPORTAL_SSD108864209
SITE_NEXTDC_S5,-33.786734,151.127881,planning_portal_point,SRC_NSWPORTAL_SSD63168959
SITE_NEXTDC_S7,-33.801799,150.825602,planning_portal_point,SRC_NSWPORTAL_SSD113934740
SITE_ORIORDAN,-33.9,151.2,planning_portal_point,SRC_NSWPORTAL_SSD77274467
SITE_PROJECT_APOLLO,-33.781279,151.130674,planning_portal_point,SRC_NSWPORTAL_SSD74069708
SITE_PROJECT_DUKE,-33.92085,151.18384,planning_portal_point,SRC_NSWPORTAL_SSD71368959
SITE_PROJECT_MARS,-33.811879,151.149475,planning_portal_point,SRC_NSWPORTAL_SSD82052708
SITE_PROJECT_PLUTO,-33.851132,150.955072,planning_portal_point,SRC_NSWPORTAL_SSD69223466
SITE_ROAD_1,-33.781,151.123,planning_portal_point,SRC_NSWPORTAL_SSD80814238
SITE_ROBERTS_RD,-33.818072,150.837668,planning_portal_point,SRC_NSWPORTAL_SSD10330
SITE_STACK_SYD01,-33.815188,150.811826,planning_portal_point,SRC_NSWPORTAL_SSD82211208
SITE_STATION_RD,-33.778755,150.946212,planning_portal_point,SRC_NSWPORTAL_SSD33781208
SITE_TALAVERA,-33.780726,151.127329,planning_portal_point,SRC_NSWPORTAL_SSD24299707
SITE_TURNER_RD,-34.030652,150.760022,planning_portal_point,SRC_NSWPORTAL_TURNER
SITE_WATERLOO_ESR,-33.78406,151.125771,planning_portal_point,SRC_NSWPORTAL_SSD59516710
