Table 1 - Investments other than derivatives,,,,,,,,,,,,
Portfolio Holdings Information for:,Future Fund,,,,,,,,,,,
Reporting Date: ,31/12/2025,,,,,,,,,,,
,,,,,,,,,,,,
Asset Class,Internally or Externally Managed,Name of Institution,Name of Issuer / Counterparty,Name / Investment Item,Name of Investment Manager,Currency,Security Identifier,% Ownership, Units Held ,Value (AUD),Weighting (%),
Cash,,ANZ Group Holdings Ltd.,,,,AUD,,,,"3,225,685,335",1.19%,
Cash,,Commonwealth Bank of Australia,,,,AUD,,,,"2,434,469,713",0.90%,
Cash,,Government of Canada,,,,CAD,,,,"1,143,480,163",0.42%,
Cash,,Government of Japan,,,,JPY,,,,"6,172,471,908",2.29%,
Cash,,Government of the United States of America,,,,USD,,,,"2,756,885,020",1.02%,
Cash,,JPMorgan Chase & Co.,,,,AUD,,,,"764,045,962",0.28%,
Cash,,JPMorgan Chase & Co.,,,,CAD,,,,"46,284,439",0.02%,
Cash,,JPMorgan Chase & Co.,,,,CHF,,,,"30,708,948",0.01%,
Cash,,JPMorgan Chase & Co.,,,,EUR,,,,"125,695,470",0.05%,
Cash,,JPMorgan Chase & Co.,,,,GBP,,,,"46,877,452",0.02%,
Cash,,JPMorgan Chase & Co.,,,,HKD,,,,"200,582",0.00%,
Cash,,JPMorgan Chase & Co.,,,,JPY,,,,"81,768,373",0.03%,
Cash,,JPMorgan Chase & Co.,,,,NZD,,,,"-8,642,560",0.00%,
Cash,,JPMorgan Chase & Co.,,,,SEK,,,,"426,104",0.00%,
Cash,,JPMorgan Chase & Co.,,,,SGD,,,,"82,344",0.00%,
Cash,,JPMorgan Chase & Co.,,,,USD,,,,"1,682,887,503",0.62%,
Cash,,National Australia Bank Ltd.,,,,AUD,,,,"1,747,922,553",0.65%,
Cash,,Northern Institutional U.S. Government Select Portfolio,,,,USD,,,,"3,458,103,285",1.28%,
Cash,,Northern Trust Corp.,,,,AED,,,,"977,342",0.00%,
Cash,,Northern Trust Corp.,,,,AUD,,,,"1,021,358,556",0.38%,
Cash,,Northern Trust Corp.,,,,BRL,,,,"8,273,924",0.00%,
Cash,,Northern Trust Corp.,,,,CAD,,,,"31,644,736",0.01%,
Cash,,Northern Trust Corp.,,,,CHF,,,,"22,097,100",0.01%,
Cash,,Northern Trust Corp.,,,,CLP,,,,"15,808",0.00%,
Cash,,Northern Trust Corp.,,,,CNH,,,,"-163,322",0.00%,
Cash,,Northern Trust Corp.,,,,CNY,,,,"476,685",0.00%,
Cash,,Northern Trust Corp.,,,,CZK,,,,"702,786",0.00%,
Cash,,Northern Trust Corp.,,,,DKK,,,,"2,259,503",0.00%,
Cash,,Northern Trust Corp.,,,,EUR,,,,"466,958,067",0.17%,
Cash,,Northern Trust Corp.,,,,GBP,,,,"167,358,326",0.06%,
Cash,,Northern Trust Corp.,,,,HKD,,,,"3,785,556",0.00%,
Cash,,Northern Trust Corp.,,,,HUF,,,,"551,641",0.00%,
Cash,,Northern Trust Corp.,,,,IDR,,,,"357,407",0.00%,
Cash,,Northern Trust Corp.,,,,ILS,,,,"834,089",0.00%,
Cash,,Northern Trust Corp.,,,,INR,,,,"582,558",0.00%,
Cash,,Northern Trust Corp.,,,,ISK,,,,"1,864",0.00%,
Cash,,Northern Trust Corp.,,,,JPY,,,,"64,598,006",0.02%,
Cash,,Northern Trust Corp.,,,,KRW,,,,"348,644",0.00%,
Cash,,Northern Trust Corp.,,,,KWD,,,,"392,078",0.00%,
Cash,,Northern Trust Corp.,,,,MXN,,,,"678,735",0.00%,
Cash,,Northern Trust Corp.,,,,MYR,,,,0,0.00%,
Cash,,Northern Trust Corp.,,,,NOK,,,,"698,411",0.00%,
Cash,,Northern Trust Corp.,,,,NZD,,,,"17,845,338",0.01%,
Cash,,Northern Trust Corp.,,,,PEN,,,,0,0.00%,
Cash,,Northern Trust Corp.,,,,PHP,,,,"152,530",0.00%,
Cash,,Northern Trust Corp.,,,,PLN,,,,"741,735",0.00%,
Cash,,Northern Trust Corp.,,,,QAR,,,,"164,165",0.00%,
Cash,,Northern Trust Corp.,,,,RON,,,,"1,836",0.00%,
Cash,,Northern Trust Corp.,,,,SAR,,,,894,0.00%,
Cash,,Northern Trust Corp.,,,,SEK,,,,"5,956,050",0.00%,
Cash,,Northern Trust Corp.,,,,SGD,,,,"3,851,340",0.00%,
Cash,,Northern Trust Corp.,,,,THB,,,,0,0.00%,
Cash,,Northern Trust Corp.,,,,TRY,,,,"625,004",0.00%,
Cash,,Northern Trust Corp.,,,,TWD,,,,"102,354",0.00%,
Cash,,Northern Trust Corp.,,,,USD,,,,"942,460,995",0.35%,
Cash,,Northern Trust Corp.,,,,ZAR,,,,"744,492",0.00%,
Cash,,Westpac Banking Corp.,,,,AUD,,,,"3,411,121,160",1.26%,
Total,,,,,,,,,,"29,887,908,982",11.07%,
Fixed Income,Externally,,,,Ares Management,,,,,"5,675,311,785",2.10%,
Fixed Income,Externally,,,,Bain Capital Credit,,,,,"5,094,202,148",1.89%,
Fixed Income,Externally,,,,BlackRock,,,,,"3,335,741,891",1.24%,
Fixed Income,Externally,,,,Blackstone Credit and Insurance,,,,,"756,341,407",0.28%,
Fixed Income,Externally,,,,Centerbridge Partners L.P.,,,,,"751,722",0.00%,
Fixed Income,Externally,,,,FitzWalter Capital Limited,,,,,"40,620,797",0.02%,
Fixed Income,Externally,,,,Goldman Sachs Asset Management,,,,,"418,546,165",0.16%,
Fixed Income,Externally,,,,Hayfin Capital Management,,,,,"995,799,019",0.37%,
Fixed Income,Externally,,,,Kohlberg Kravis Roberts & Co. L.P.,,,,,"135,368,487",0.05%,
Fixed Income,Externally,,,,Lazard Asset Management,,,,,"1,575,055,384",0.58%,
Fixed Income,Externally,,,,M&G Investment Management Limited,,,,,"975,776,155",0.36%,
Fixed Income,Externally,,,,Oak Hill Advisors,,,,,"2,065,337,048",0.76%,
Fixed Income,Externally,,,,Oaktree Capital Management,,,,,"445,263,567",0.16%,
Fixed Income,Externally,,,,PAG Holdings Limited,,,,,"119,854,227",0.04%,
Fixed Income,Externally,,,,PIMCO Australia,,,,,"617,201,047",0.23%,
Fixed Income,Externally,,,,Silver Point Capital,,,,,"340,051,742",0.13%,
Fixed Income,Externally,,,,Westbourne Credit Management Limited,,,,,"98,084,051",0.04%,
Total,,,,,,,,,,"22,689,306,642",8.40%,
Listed Equity,,,,3i Group Plc,,,B1YW440,,"943,766","62,803,245",0.02%,
Listed Equity,,,,3M Co.,,,2595708,,"47,804","11,476,974",0.00%,
Listed Equity,,,,"3SBio, Inc.",,,BY9D3L9,,"544,500","2,536,595",0.00%,
Listed Equity,,,,A.P. Møller-Mærsk A/S,,,4253059,,"3,684","12,717,529",0.00%,
Listed Equity,,,,A.P. Møller-Mærsk A/S,,,4253048,,"5,507","19,010,704",0.01%,
Listed Equity,,,,"AAC Technologies Holdings, Inc.",,,B85LKS1,,"636,500","4,782,555",0.00%,
Listed Equity,,,,ABB Ltd.,,,7108899,,"1,264,685","141,762,178",0.05%,
Listed Equity,,,,Abbott Laboratories,,,2002305,,"897,644","168,652,346",0.06%,
Listed Equity,,,,"AbbVie, Inc.",,,B92SR70,,"482,983","165,489,669",0.06%,
Listed Equity,,,,"ABIOMED, Inc.",,,BQBG6P5,,"19,253",0,0.00%,
Listed Equity,,,,ABN AMRO Bank NV,,,BYQP136,,"428,209","22,466,361",0.01%,
Listed Equity,,,,Absa Group Ltd.,,,BFX05H3,,"80,378","1,741,158",0.00%,
Listed Equity,,,,Abu Dhabi Commercial Bank PJSC,,,6545464,,"2,766,331","16,151,130",0.01%,
Listed Equity,,,,Abu Dhabi Islamic Bank,,,6001728,,"1,528,696","12,957,202",0.00%,
Listed Equity,,,,Abu Dhabi National Oil Co. for Distribution PJSC,,,BYVGM64,,"294,435","468,831",0.00%,
Listed Equity,,,,Accenture Plc,,,B4BNMY3,,"622,416","250,422,453",0.09%,
Listed Equity,,,,Acciona SA,,,5579107,,"15,127","4,952,661",0.00%,
Listed Equity,,,,Accor SA,,,5852842,,"101,948","8,657,896",0.00%,
Listed Equity,,,,Accton Technology Corp.,,,6005214,,"147,000","8,313,702",0.00%,
Listed Equity,,,,"ACS, Actividades de Construcción y Servicios SA",,,B01FLQ6,,"114,058","17,044,491",0.01%,
Listed Equity,,,,Acter Group Corp. Ltd.,,,B56VQB4,,"36,000","1,341,876",0.00%,
Listed Equity,,,,"ADATA Technology Co., Ltd.",,,6718943,,"448,000","5,976,110",0.00%,
Listed Equity,,,,Addtech AB,,,BLN8T44,,"169,864","9,046,435",0.00%,
Listed Equity,,,,adidas AG,,,4031976,,"92,551","27,555,147",0.01%,
Listed Equity,,,,Admiral Group Plc,,,B02J639,,"225,069","14,418,048",0.01%,
Listed Equity,,,,"Adobe, Inc.",,,2008154,,"263,615","138,355,873",0.05%,
Listed Equity,,,,Advanced Info Service Public Co. Ltd.,,,6412591,,"262,964","3,917,716",0.00%,
Listed Equity,,,,Advanced Info Service Public Co. Ltd.,,,6412609,,"346,300","5,159,281",0.00%,
Listed Equity,,,,"Advanced Micro Devices, Inc.",,,2007849,,"144,800","46,502,764",0.02%,
Listed Equity,,,,"Advantech Co., Ltd.",,,6202673,,"1,544,626","21,231,202",0.01%,
Listed Equity,,,,Advantest Corp.,,,6870490,,"659,300","123,848,892",0.05%,
Listed Equity,,,,Adyen NV,,,BZ1HM42,,"19,669","47,631,189",0.02%,
Listed Equity,,,,AECOM,,,B1VZ431,,"37,296","5,331,675",0.00%,
Listed Equity,,,,Aegon Ltd.,,,BPH0Y27,,"835,492","9,770,501",0.00%,
Listed Equity,,,,Aena S.M.E. SA,,,BTMKJR0,,"501,631","21,044,207",0.01%,
Listed Equity,,,,"AEON Co., Ltd.",,,6480048,,"839,000","19,882,277",0.01%,
Listed Equity,,,,AerCap Holdings NV,,,B1HHKD3,,"189,680","40,891,350",0.02%,
Listed Equity,,,,Aéroports de Paris,,,B164FY1,,"13,596","2,667,490",0.00%,
Listed Equity,,,,"Affirm Holdings, Inc.",,,BMF9NM8,,"23,907","2,668,363",0.00%,
Listed Equity,,,,"Aflac, Inc.",,,2026361,,"206,304","34,114,332",0.01%,
Listed Equity,,,,"AGC, Inc. (Japan)",,,6055208,,"151,100","7,643,513",0.00%,
Listed Equity,,,,ageas SA/NV,,,B86S2N0,,"99,959","10,527,604",0.00%,
Listed Equity,,,,"Agilent Technologies, Inc.",,,2520153,,"142,360","29,048,399",0.01%,
