operator,entity_id,year,published_name,scope1_t,scope2_t,net_energy_gj,n_published_rows,all_published_names
AirTrunk,ENT_AIRTRUNK,2019-20,AIRTRUNK AUSTRALIA HOLDING PTY LTD,132.0,94528.0,397923.0,1,AIRTRUNK AUSTRALIA HOLDING PTY LTD
AirTrunk,ENT_AIRTRUNK,2020-21,AIRTRUNK AUSTRALIA HOLDING PTY LTD,328.0,157174.0,660303.0,1,AIRTRUNK AUSTRALIA HOLDING PTY LTD
AirTrunk,ENT_AIRTRUNK,2021-22,AIRTRUNK AUSTRALIA HOLDING PTY LTD,918.0,257423.0,1106671.0,1,AIRTRUNK AUSTRALIA HOLDING PTY LTD
AirTrunk,ENT_AIRTRUNK,2022-23,AIRTRUNK AUSTRALIA HOLDING PTY LTD,2352.0,348562.0,1643984.0,1,AIRTRUNK AUSTRALIA HOLDING PTY LTD
AirTrunk,ENT_AIRTRUNK,2023-24,AIRTRUNK AUSTRALIA HOLDING PTY LTD,1826.0,450207.0,2275838.0,1,AIRTRUNK AUSTRALIA HOLDING PTY LTD
AirTrunk,ENT_AIRTRUNK,2024-25,AIRTRUNK AUSTRALIA HOLDING PTY LTD,4165.0,553344.0,2886668.0,1,AIRTRUNK AUSTRALIA HOLDING PTY LTD
Amazon Web Services,ENT_AWS,2019-20,AMAZON CORPORATE SERVICES PTY LTD,771.0,134104.0,606756.0,1,AMAZON CORPORATE SERVICES PTY LTD
Amazon Web Services,ENT_AWS,2020-21,AMAZON CORPORATE SERVICES PTY LTD,605.0,192062.0,861976.0,1,AMAZON CORPORATE SERVICES PTY LTD
Amazon Web Services,ENT_AWS,2021-22,AMAZON CORPORATE SERVICES PTY LTD,626.0,260583.0,1188419.0,1,AMAZON CORPORATE SERVICES PTY LTD
Amazon Web Services,ENT_AWS,2022-23,AMAZON CORPORATE SERVICES PTY LTD,739.0,305732.0,1507903.0,1,AMAZON CORPORATE SERVICES PTY LTD
Amazon Web Services,ENT_AWS,2023-24,AMAZON CORPORATE SERVICES PTY LTD,583.0,319138.0,1684160.0,1,AMAZON CORPORATE SERVICES PTY LTD
Amazon Web Services,ENT_AWS,2024-25,AMAZON CORPORATE SERVICES PTY LTD,1007.0,405217.0,2207911.0,1,AMAZON CORPORATE SERVICES PTY LTD
CDC Data Centres,ENT_CDC,2020-21,CDC GROUP HOLDINGS PTY LTD,163.0,150136.0,669621.0,1,CDC GROUP HOLDINGS PTY LTD
