id,project_slug,case_id,site_id,entity_id,role,evidence_document,is_named_applicant,true_proponent,proponent_known,notes,fact_status,source_id,confidence,as_of_date
1,43-61-turner-road-data-centre,SSD-68013714,,ENT_ARUP,named_applicant,"Schedule 1, signed Development Consent (43_61_turner_road_data_centre.txt)",1,,0,"Schedule 1 of the signed consent names ARUP Pty Ltd as the Applicant. The named applicant is a CONSULTANCY, so the operator is not identifiable from the face of the consent.",VERIFIED,SRC_CONSENT_APPLICANTS,high,2026-09-18
2,51-huntingwood-drive-data-centre,SSD-41589232,,ENT_EMKC,named_applicant,"Schedule 1, signed Development Consent (51_huntingwood_drive_data_centre.txt)",1,,0,Schedule 1 of the signed consent names EMKC Cubed Management Pty Ltd as the Applicant. The named applicant is an opaque single-purpose vehicle or trust trustee whose beneficial ownership is not disclosed on the consent (RG-064 / RG-081).,VERIFIED,SRC_CONSENT_APPLICANTS,medium,2026-09-18
3,apollo-place-data-centre,SSD-67407231,,ENT_EMKC,named_applicant,"Schedule 1, signed Development Consent (apollo_place_data_centre.txt)",1,,0,Schedule 1 of the signed consent names EMKC Cubed Management Pty Ltd as the Applicant. The named applicant is an opaque single-purpose vehicle or trust trustee whose beneficial ownership is not disclosed on the consent (RG-064 / RG-081).,VERIFIED,SRC_CONSENT_APPLICANTS,medium,2026-09-18
4,davis-rd-data-centre-mod-1-tree-removal-corr,,,ENT_CUNDALL,named_applicant,"Schedule 1, signed Development Consent (davis_rd_data_centre_mod_1_tree_removal_corr.txt)",1,,0,"Schedule 1 of the signed consent names Cundall Johnston and Partners Pty Ltd as the Applicant. The named applicant is a CONSULTANCY, so the operator is not identifiable from the face of the consent.",VERIFIED,SRC_CONSENT_APPLICANTS,high,2026-09-18
5,davis-road-data-centre-cundall,SSD-59416728,,ENT_CUNDALL,named_applicant,"Schedule 1, signed Development Consent (davis_road_data_centre_cundall.txt)",1,,0,"Schedule 1 of the signed consent names Cundall Johnston and Partners Pty Ltd as the Applicant. The named applicant is a CONSULTANCY, so the operator is not identifiable from the face of the consent.",VERIFIED,SRC_CONSENT_APPLICANTS,high,2026-09-18
6,digico-syd1-data-centre-expansion,SSD-69637456,,ENT_HDI_SYD1,named_applicant,"Schedule 1, signed Development Consent (digico_syd1_data_centre_expansion.txt)",1,,0,Schedule 1 of the signed consent names HDI SYD1 Property Holdings Limited as the Applicant. The named applicant is an opaque single-purpose vehicle or trust trustee whose beneficial ownership is not disclosed on the consent (RG-064 / RG-081).,VERIFIED,SRC_CONSENT_APPLICANTS,medium,2026-09-18
7,glendenning-road-data-centre,SSD-73761707,,ENT_LEHR,named_applicant,"Schedule 1, signed Development Consent (glendenning_road_data_centre.txt)",1,,0,"Schedule 1 of the signed consent names Lehr Consultants International (Australia) Pty Ltd as the Applicant. The named applicant is a CONSULTANCY, so the operator is not identifiable from the face of the consent.",VERIFIED,SRC_CONSENT_APPLICANTS,high,2026-09-18
8,dci-poplars-data-centre-project-0,,,ENT_NINEZERO,named_applicant,"Schedule 1, signed Development Consent (dci_poplars_data_centre_project_0.txt)",1,,0,Schedule 1 of the signed consent names The Trustee for NineZero DC Sub Trust I as the Applicant. The named applicant is an opaque single-purpose vehicle or trust trustee whose beneficial ownership is not disclosed on the consent (RG-064 / RG-081).,VERIFIED,SRC_CONSENT_APPLICANTS,medium,2026-09-18
9,grand-avenue-data-centre-expansion-rosehill,,,ENT_EQUINIX_SY10,named_applicant,"Schedule 1, signed Development Consent (grand_avenue_data_centre_expansion_rosehill.txt)",1,Equinix,1,Schedule 1 of the signed consent names Equinix Hyperscale 2 (SY10) Pty Limited as the Applicant. The named applicant is the identifiable operator.,VERIFIED,SRC_CONSENT_APPLICANTS,high,2026-09-18
10,nextdc-s4-data-centre-horsley-park,,,ENT_NEXTDC,named_applicant,"Schedule 1, signed Development Consent (nextdc_s4_data_centre_horsley_park.txt)",1,NEXTDC,1,Schedule 1 of the signed consent names NEXTDC Limited as the Applicant. The named applicant is the identifiable operator.,VERIFIED,SRC_CONSENT_APPLICANTS,high,2026-09-18
