id,run_at,pack,table_name,action,rows_affected,detail
1,2026-09-24T18:35:26Z,cer-verification-rg009,metrics,insert,122,"{""updated"": 0, ""rejected"": 0, ""skipped_identical"": 0}"
2,2026-09-24T18:35:26Z,cer-verification-rg009,entities,insert,2,"{""updated"": 0, ""rejected"": 0, ""skipped_identical"": 0}"
3,2026-09-24T18:35:26Z,cer-verification-rg009,renewable_claims,insert,1,"{""updated"": 1, ""rejected"": 0, ""skipped_identical"": 0}"
4,2026-09-24T18:35:26Z,cer-verification-rg009,research_gaps,insert,0,"{""updated"": 1, ""rejected"": 0, ""skipped_identical"": 0}"
5,2026-09-24T18:35:26Z,cer-verification-rg009,_pack,ok,0,"{""counts"": {""sources"": 5, ""metrics"": 122, ""entities"": 2, ""renewable_claims"": 2, ""research_gaps"": 1}, ""prepared_by"": ""scripts/analyse_cer.py"", ""prepared_on"": ""2026-09-18""}"
6,2026-09-24T18:35:26Z,rg013-hyperscaler-sites-2026-09,entities,insert,11,"{""updated"": 0, ""rejected"": 0, ""skipped_identical"": 0}"
7,2026-09-24T18:35:26Z,rg013-hyperscaler-sites-2026-09,sites,insert,16,"{""updated"": 3, ""rejected"": 0, ""skipped_identical"": 0}"
8,2026-09-24T18:35:26Z,rg013-hyperscaler-sites-2026-09,applications,insert,2,"{""updated"": 0, ""rejected"": 0, ""skipped_identical"": 0}"
9,2026-09-24T18:35:26Z,rg013-hyperscaler-sites-2026-09,power_profile,insert,2,"{""updated"": 0, ""rejected"": 0, ""skipped_identical"": 0}"
10,2026-09-24T18:35:26Z,rg013-hyperscaler-sites-2026-09,incentives,insert,2,"{""updated"": 0, ""rejected"": 0, ""skipped_identical"": 0}"
11,2026-09-24T18:35:26Z,rg013-hyperscaler-sites-2026-09,regulatory_events,insert,2,"{""updated"": 0, ""rejected"": 0, ""skipped_identical"": 0}"
12,2026-09-24T18:35:26Z,rg013-hyperscaler-sites-2026-09,community_events,insert,2,"{""updated"": 0, ""rejected"": 0, ""skipped_identical"": 0}"
13,2026-09-24T18:35:26Z,rg013-hyperscaler-sites-2026-09,metrics,insert,12,"{""updated"": 0, ""rejected"": 0, ""skipped_identical"": 0}"
14,2026-09-24T18:35:26Z,rg013-hyperscaler-sites-2026-09,research_gaps,insert,8,"{""updated"": 2, ""rejected"": 0, ""skipped_identical"": 0}"
15,2026-09-24T18:35:26Z,rg013-hyperscaler-sites-2026-09,_pack,ok,0,"{""counts"": {""sources"": 9, ""entities"": 11, ""sites"": 19, ""applications"": 2, ""power_profile"": 2, ""incentives"": 2, ""regulatory_events"": 2, ""community_events"": 2, ""metrics"": 12, ""research_gaps"": 10}, ""prepared_by"": ""scripts/curate_rg013.py (curated from primary sources read 2026-09-18)"", ""prepared_on"": ""2026-09-18""}"
16,2026-09-24T18:35:26Z,rg002-nsw-ssd-register-2026-09,sites,insert,34,"{""updated"": 12, ""rejected"": 0, ""skipped_identical"": 0}"
17,2026-09-24T18:35:26Z,rg002-nsw-ssd-register-2026-09,applications,insert,46,"{""updated"": 0, ""rejected"": 0, ""skipped_identical"": 0}"
18,2026-09-24T18:35:26Z,rg002-nsw-ssd-register-2026-09,metrics,insert,23,"{""updated"": 0, ""rejected"": 0, ""skipped_identical"": 0}"
19,2026-09-24T18:35:26Z,rg002-nsw-ssd-register-2026-09,research_gaps,insert,2,"{""updated"": 2, ""rejected"": 0, ""skipped_identical"": 0}"
20,2026-09-24T18:35:26Z,rg002-nsw-ssd-register-2026-09,_pack,ok,0,"{""counts"": {""sources"": 1, ""sites"": 46, ""applications"": 46, ""metrics"": 23, ""research_gaps"": 4}, ""prepared_by"": ""scripts/curate_rg002.py from exports/nsw_planning/nsw_data_centre_projects.csv"", ""prepared_on"": ""2026-09-18""}"
21,2026-09-24T18:35:26Z,rg026-consent-conditions-2026-09,entities,insert,2,"{""updated"": 4, ""rejected"": 0, ""skipped_identical"": 0}"
22,2026-09-24T18:35:26Z,rg026-consent-conditions-2026-09,sites,insert,0,"{""updated"": 2, ""rejected"": 0, ""skipped_identical"": 0}"
23,2026-09-24T18:35:26Z,rg026-consent-conditions-2026-09,power_profile,insert,0,"{""updated"": 1, ""rejected"": 0, ""skipped_identical"": 0}"
24,2026-09-24T18:35:26Z,rg026-consent-conditions-2026-09,instrument_application,insert,3,"{""updated"": 0, ""rejected"": 0, ""skipped_identical"": 0}"
25,2026-09-24T18:35:26Z,rg026-consent-conditions-2026-09,regulatory_events,insert,2,"{""updated"": 0, ""rejected"": 0, ""skipped_identical"": 0}"
26,2026-09-24T18:35:26Z,rg026-consent-conditions-2026-09,community_events,insert,1,"{""updated"": 0, ""rejected"": 0, ""skipped_identical"": 0}"
27,2026-09-24T18:35:26Z,rg026-consent-conditions-2026-09,metrics,insert,11,"{""updated"": 0, ""rejected"": 0, ""skipped_identical"": 0}"
28,2026-09-24T18:35:26Z,rg026-consent-conditions-2026-09,research_gaps,insert,5,"{""updated"": 3, ""rejected"": 0, ""skipped_identical"": 0}"
29,2026-09-24T18:35:26Z,rg026-consent-conditions-2026-09,engineering_claims,insert,0,"{""updated"": 2, ""rejected"": 0, ""skipped_identical"": 0}"
30,2026-09-24T18:35:26Z,rg026-consent-conditions-2026-09,_pack,ok,0,"{""counts"": {""sources"": 5, ""entities"": 6, ""sites"": 2, ""power_profile"": 1, ""instrument_application"": 3, ""regulatory_events"": 2, ""community_events"": 1, ""metrics"": 11, ""research_gaps"": 8, ""engineering_claims"": 2}, ""prepared_by"": ""scripts/curate_rg026.py (curated from the signed consent and ABR records read 2026-09-18)"", ""prepared_on"": ""2026-09-18""}"
31,2026-09-24T18:35:26Z,rg015-inquiry-record-2026-09,entities,insert,13,"{""updated"": 0, ""rejected"": 0, ""skipped_identical"": 0}"
32,2026-09-24T18:35:26Z,rg015-inquiry-record-2026-09,metrics,insert,13,"{""updated"": 0, ""rejected"": 0, ""skipped_identical"": 0}"
33,2026-09-24T18:35:26Z,rg015-inquiry-record-2026-09,regulatory_events,insert,7,"{""updated"": 0, ""rejected"": 0, ""skipped_identical"": 0}"
34,2026-09-24T18:35:26Z,rg015-inquiry-record-2026-09,renewable_claims,insert,3,"{""updated"": 0, ""rejected"": 0, ""skipped_identical"": 0}"
35,2026-09-24T18:35:26Z,rg015-inquiry-record-2026-09,community_events,insert,4,"{""updated"": 0, ""rejected"": 0, ""skipped_identical"": 0}"
36,2026-09-24T18:35:26Z,rg015-inquiry-record-2026-09,research_gaps,insert,4,"{""updated"": 2, ""rejected"": 0, ""skipped_identical"": 0}"
37,2026-09-24T18:35:26Z,rg015-inquiry-record-2026-09,_pack,ok,0,"{""counts"": {""sources"": 6, ""entities"": 13, ""metrics"": 13, ""regulatory_events"": 7, ""renewable_claims"": 3, ""community_events"": 4, ""research_gaps"": 6}, ""prepared_by"": ""scripts/curate_rg015.py (curated from transcripts read 2026-09-18)"", ""prepared_on"": ""2026-09-18""}"
38,2026-09-24T18:35:26Z,rg034-consent-modifications-2026-09,modifications,insert,17,"{""updated"": 0, ""rejected"": 0, ""skipped_identical"": 0}"
39,2026-09-24T18:35:26Z,rg034-consent-modifications-2026-09,metrics,insert,4,"{""updated"": 0, ""rejected"": 0, ""skipped_identical"": 0}"
40,2026-09-24T18:35:26Z,rg034-consent-modifications-2026-09,research_gaps,insert,2,"{""updated"": 1, ""rejected"": 0, ""skipped_identical"": 0}"
41,2026-09-24T18:35:26Z,rg034-consent-modifications-2026-09,_pack,ok,0,"{""counts"": {""sources"": 1, ""modifications"": 17, ""metrics"": 4, ""research_gaps"": 3}, ""prepared_by"": ""scripts/curate_rg034.py from exports/nsw_planning/nsw_data_centre_modifications.csv"", ""prepared_on"": ""2026-09-18""}"
42,2026-09-24T18:35:26Z,rg003-vic-qld-2026-09,entities,insert,4,"{""updated"": 1, ""rejected"": 0, ""skipped_identical"": 0}"
43,2026-09-24T18:35:26Z,rg003-vic-qld-2026-09,sites,insert,2,"{""updated"": 3, ""rejected"": 0, ""skipped_identical"": 0}"
44,2026-09-24T18:35:26Z,rg003-vic-qld-2026-09,power_profile,insert,1,"{""updated"": 1, ""rejected"": 0, ""skipped_identical"": 0}"
45,2026-09-24T18:35:26Z,rg003-vic-qld-2026-09,water_profile,insert,1,"{""updated"": 0, ""rejected"": 0, ""skipped_identical"": 0}"
46,2026-09-24T18:35:26Z,rg003-vic-qld-2026-09,legal_instruments,insert,2,"{""updated"": 0, ""rejected"": 0, ""skipped_identical"": 0}"
47,2026-09-24T18:35:26Z,rg003-vic-qld-2026-09,instrument_application,insert,1,"{""updated"": 0, ""rejected"": 0, ""skipped_identical"": 0}"
