id,entity_table,entity_rowid,source_id,quote
1,entities,ENT_MICROSOFT,SRC_MS2026,
2,entities,ENT_AWS,SRC_AWS2025,
3,entities,ENT_GOOGLE,SRC_AIRTRUNK_PPA,
4,entities,ENT_META,SRC_METACABLE,
5,entities,ENT_OPENAI,SRC_REUTERS_S7,
6,entities,ENT_ANTHROPIC,SRC_SUPCHAIN,
7,entities,ENT_AIRTRUNK,SRC_AIRTRUNK_BC,
8,entities,ENT_NEXTDC,SRC_REUTERS_S7,
9,entities,ENT_CDC,SRC_CDC2025,
10,entities,ENT_EQUINIX,SRC_CERTSTRAT,
11,entities,ENT_DIGITALREALTY,SRC_CERTSTRAT,
12,entities,ENT_MACQUARIE_TG,SRC_CERTSTRAT,
13,entities,ENT_DCI,SRC_CERTSTRAT,
14,entities,ENT_CLOUDCARRIER,SRC_GREENPEACE_SUB,
15,entities,ENT_ZERRA,SRC_ABC_WD,
16,entities,ENT_TELSTRA,SRC_CERTSTRAT,
17,entities,ENT_VANTAGE,SRC_CERTSTRAT,
18,entities,ENT_TRANSGRID,SRC_TRANSGRID26,
19,entities,ENT_AUSGRID,SRC_TRANSGRIDCAP,
20,entities,ENT_SYDNEYWATER,SRC_ABC_WATER,
21,entities,ENT_CONEXA,SRC_REUTERS_S7,
22,entities,ENT_AEMO,SRC_AEMO26,
23,entities,ENT_AEMC,SRC_AEMC,
24,entities,ENT_AER,SRC_NSWGUIDE26,
25,entities,ENT_ORIGIN,SRC_AIRTRUNK_PPA,
26,entities,ENT_BLACKSTONE,SRC_AIRTRUNK_BC,
27,entities,ENT_CPP,SRC_CPP,
28,entities,ENT_MACQUARIE_AM,SRC_INFRAINV,
29,entities,ENT_PSP,SRC_INFRAINV,
30,entities,ENT_IFM,SRC_IA_MAMRE,
31,entities,ENT_ISPT,SRC_DCD_MAMRE,
32,entities,ENT_FUTUREFUND,SRC_CDC2025,
33,entities,ENT_INFRATIL,SRC_CDC2025,
34,entities,ENT_CSC,SRC_CDC2025,
35,entities,ENT_AUSTRALIANSUPER,SRC_CERTSTRAT,
36,entities,ENT_MAMRE_OWNER,SRC_CDC2025,
37,entities,ENT_DISR,SRC_DISR,
38,entities,ENT_OFFICE_AI,SRC_REUTERS_AI,
39,entities,ENT_NSW_DPHI,SRC_NSWGUIDE26,
40,entities,ENT_NSW_EPA,SRC_IA_MAMRE,
41,entities,ENT_NSW_TREASURY,SRC_ABCNSW26,
42,entities,ENT_IPART,SRC_ABCNSW26,
43,entities,ENT_VIC_DJSIR,SRC_VICPLAN,
44,entities,ENT_EPA_VIC,SRC_EPAVIC,
45,entities,ENT_DTA,SRC_CERTSTRAT,
46,entities,ENT_CISC,SRC_CISC,
47,entities,ENT_CER,SRC_AFR_NGER,
48,entities,ENT_FIRB,SRC_BC_DEAL,
49,entities,ENT_NSWLC,SRC_NSWINQ,
