firm,peak_body_member,on_peak_body_board,also_an_operator,operator_vehicle,au_public_sector_exposure_aud,exposure_source_tier,channel,recipient,event_date,instrument,lobbying_fact_status
Tata Consultancy Services Limited,BCA,0,1,"HyperVault - JV with TPG, >1 GW liquid-cooled AI capacity (India)",234423257.18,aggregator,peak_body_membership,Business Council of Australia,2025-04,BCA membership list (as at April 2025),REPORTED
Tata Consultancy Services Limited,BCA,0,1,"HyperVault - JV with TPG, >1 GW liquid-cooled AI capacity (India)",234423257.18,aggregator,industry_forum,Australia-India CEO Forum,2026,Forum membership; co-chair of the Australia India Women's Leadership Forum,REPORTED
Tata Consultancy Services Limited,BCA,0,1,"HyperVault - JV with TPG, >1 GW liquid-cooled AI capacity (India)",234423257.18,aggregator,other,"Australian data centre policy debate (position, not advocacy)",2025-11-20,HyperVault / TPG strategic partnership announcement,VERIFIED
Lehr Consultants International (Australia) Pty Ltd,,0,0,,,,,,,,
EMKC Cubed Management Pty Ltd,,0,0,,,,,,,,
HDI SYD1 Property Holdings Limited,,0,0,,,,,,,,
ARUP Pty Ltd,,0,0,,,,,,,,
The Trustee for NineZero DC Sub Trust I,,0,0,,,,,,,,
TPG (TPG Capital / TPG Rise Climate),BCA,0,1,"HyperVault (27.5-49% stake, with TCS)",,,,,,,
Cundall Johnston and Partners Pty Ltd,,0,0,,,,,,,,
