firm,agency,contract_title,value_aud,portal,portal_id,method_of_tendering,contract_start,contract_end,is_duplicate_of,fact_status,confidence,source_url
Tata Consultancy Services Limited,Transport for NSW,CW2307478 - Transport Equip Centre of Excellence (Maintain and Operate Services),118312700.0,buy.nsw,CAN-100812,Direct negotiation,2018-03-29,2027-06-30,,VERIFIED,high,https://buy.nsw.gov.au/notices/6BD465F8-5DCF-4433-A0495C518C94EE38
Tata Consultancy Services Limited,Transport for NSW,Operation and Maintenance of Transport Equipment Centre of Excellence,118312700.0,aggregator,govmarket/tecoe,Direct negotiation,2018-03-29,2027-06-30,1,VERIFIED,high,https://govmarket.com.au/contract/operation-and-maintenance-of-transport-equipment-centre-of-excellence-by-tata-consultancy-services
Tata Consultancy Services Limited,Reserve Bank of Australia,CoreMod System Integration for Application Migrations,14000000.0,aggregator,govmarket/rba-coremod,,,,,REPORTED,medium,https://govmarket.com.au/supplier/tata-consultancy-services
Palantir Technologies Australia Pty Ltd,Department of Defence,ICT System Platform (JCG - Cyber Warfare Division) - amendment A1,10389894.9,AusTender,CN4218984-A1,Limited tender,2026-02-06,2027-02-01,24,VERIFIED,high,https://www.tenders.gov.au/Cn/Show/6721900a-2253-41a4-9bb9-334fd5f18aec
Palantir Technologies Australia Pty Ltd,Department of Defence,ICT System Platform (JCG - Cyber Warfare Division),7639894.9,AusTender,CN4218984,Limited tender,2026-02-06,2027-02-01,,VERIFIED,high,https://www.tenders.gov.au/Cn/Show/9a5d0c48-70ee-4ddc-b953-845ba4bca87e
Palantir Technologies Australia Pty Ltd,Department of Defence,Data Services (CASG - Commercial Group),7150000.0,AusTender,CN4104368,Open tender,2024-08-16,2027-12-13,,VERIFIED,high,https://www.tenders.gov.au/Cn/Show/abce7d48-265e-4b3c-aa77-7fbc197e84f2
Palantir Technologies Australia Pty Ltd,Department of Defence,Software (JCG - Cyber Warfare Division),4135076.99,AusTender,CN4115523,Open tender,2024-12-11,2025-06-30,,VERIFIED,high,https://www.tenders.gov.au/Cn/Show/0a592d73-3b04-4bcd-907e-7db4b4761845
Tata Consultancy Services Limited,Reserve Bank of Australia,Professional Services for Cloud Build Capability,2000000.0,aggregator,govmarket/rba-cloud,,,,,REPORTED,medium,https://govmarket.com.au/supplier/tata-consultancy-services
Palantir Technologies Australia Pty Ltd,Australian Criminal Intelligence Commission,Software Maintenance & Support,1402122.87,AusTender,CN3996124,Open tender,2023-06-01,2025-03-31,,VERIFIED,high,https://www.tenders.gov.au/Cn/Show/98ad1d3a-2550-4652-8935-3be706dc806d
Tata Consultancy Services Limited,Transport for NSW,Professional Services Provided to Transport for NSW,1100000.0,aggregator,govmarket/tfnsw-ps-2025,,,,,REPORTED,medium,https://govmarket.com.au/supplier/tata-consultancy-services
Tata Consultancy Services Limited,Transport for NSW,Defect Fix Services for OneStream Solution,1100000.0,aggregator,govmarket/onestream-defect,,,,,REPORTED,medium,https://govmarket.com.au/supplier/tata-consultancy-services
Tata Consultancy Services Limited,Department of Defence,Industry Benchmarking Services,1100000.0,aggregator,govmarket/defence-benchmark,,,,,REPORTED,medium,https://govmarket.com.au/supplier/tata-consultancy-services
Tata Consultancy Services Limited,Transport for NSW,Azure EiPaaS Platform Services,829000.0,aggregator,govmarket/azure-eipaas,,,,,REPORTED,medium,https://govmarket.com.au/supplier/tata-consultancy-services
Palantir Technologies Inc.,Australian Signals Directorate,Software Licencing,696981.39,AusTender,CN3992202,Limited tender,2023-07-01,2024-06-30,,VERIFIED,high,https://www.tenders.gov.au/Cn/Show/0cb01a4e-8335-4542-a8e4-2be07b26d576
