firm,agency,records,distinct_contracts,distinct_value_aud,gross_value_aud,double_counted_aud
Tata Consultancy Services Limited,Transport for NSW,8,7,122546700.0,240859400.0,118312700.0
Palantir Technologies Australia Pty Ltd,Department of Defence,4,3,18924971.89,29314866.79,10389894.9
Tata Consultancy Services Limited,Reserve Bank of Australia,2,2,16000000.0,16000000.0,0.0
Tata Consultancy Services Limited,Melbourne Water,9,9,1794000.0,1794000.0,0.0
Palantir Technologies Australia Pty Ltd,Australian Criminal Intelligence Commission,1,1,1402122.87,1402122.87,0.0
Tata Consultancy Services Limited,Department of Defence,1,1,1100000.0,1100000.0,0.0
Palantir Technologies Inc.,Australian Signals Directorate,1,1,696981.39,696981.39,0.0
Tata Consultancy Services Limited,NSW Electoral Commission,1,1,239000.0,239000.0,0.0
Tata Consultancy Services Limited,Department of Customer Service,1,1,189000.0,189000.0,0.0
Tata Consultancy Services Limited,Department of the Prime Minister and Cabinet,1,1,135000.0,135000.0,0.0
