id,name,entity_type,domicile,hq_country,holder_id,holder,holder_domicile,stake_pct,instrument,effective_from,firb_reviewed,firb_outcome
ENT_OPENAI,OpenAI,ai_lab,United States,US,,,,,,,,
ENT_ANTHROPIC,Anthropic,ai_lab,United States,US,,,,,,,,
ENT_AIRTRUNK,AirTrunk,colocation_operator,United States (Blackstone-controlled),AU,ENT_BLACKSTONE,Blackstone,United States,88.0,equity,2024-12-23,1,approved (transaction completed following regulatory approvals)
ENT_AIRTRUNK,AirTrunk,colocation_operator,United States (Blackstone-controlled),AU,ENT_CPP,CPP Investments (Canada Pension Plan Investment Board),Canada,12.0,equity,2024-12-23,0,
ENT_NEXTDC,NEXTDC,colocation_operator,Australia,AU,,,,,,,,
ENT_CDC,CDC Data Centres,colocation_operator,Australia / New Zealand,AU,ENT_INFRATIL,Infratil,New Zealand,49.75,equity,2025-02-18,0,
ENT_CDC,CDC Data Centres,colocation_operator,Australia / New Zealand,AU,ENT_FUTUREFUND,Future Fund,Australia,34.55,equity,2025-02-18,0,
ENT_CDC,CDC Data Centres,colocation_operator,Australia / New Zealand,AU,ENT_CSC,Commonwealth Superannuation Corporation,Australia,12.04,equity,2025-02-18,0,
ENT_CDC,CDC Data Centres,colocation_operator,Australia / New Zealand,AU,ENT_MAMRE_OWNER,CDC management / Greg Boorer,Australia,3.66,equity,2025-02-18,0,
ENT_EQUINIX,Equinix,colocation_operator,United States,US,,,,,,,,
ENT_DIGITALREALTY,Digital Realty,colocation_operator,United States,US,,,,,,,,
ENT_MACQUARIE_TG,Macquarie Technology Group,colocation_operator,Australia,AU,,,,,,,,
ENT_DCI,DCI Data Centers,colocation_operator,Australia,AU,,,,,,,,
ENT_GLOBALSWITCH,Global Switch Australia,colocation_operator,United Kingdom,GB,,,,,,,,
ENT_FUJITSU_AU,Fujitsu Australia,colocation_operator,Japan,JP,,,,,,,,
ENT_MACQUARIE_DC,Macquarie Data Centres Pty Ltd,colocation_operator,Australia,AU,,,,,,,,
ENT_CLOUDCARRIER,Cloud Carrier,developer,Australia,AU,,,,,,,,
ENT_ZERRA,Zerra DC,developer,Unknown; the Australian group is registered in NSW 2000 (Sydney CBD). Secondary reporting describes the developer as Singapore-based and owned by investment firm AGP; neither appears in the lodged application or on the ABR.,,,,,,,,,
ENT_VANTAGE,Vantage Data Centers,developer,United States,US,,,,,,,,
ENT_OX2,OX2,developer,Sweden,SE,,,,,,,,
ENT_MSFT_DC_AU,Microsoft Datacentre (Australia) Pty Ltd,developer,United States,US,,,,,,,,
ENT_AMAZON_COMM,Amazon Commercial Services Pty Ltd,developer,United States,US,,,,,,,,
ENT_KNBDC,KNBDC entity group (KNBDC AU Development / AU Financing Holdco / per-project trusts),developer,Unknown - not resolvable from public registers,,,,,,,,,
ENT_STACK_AU,STACK Infrastructure Australia Pty Ltd,developer,United States,US,,,,,,,,
ENT_GOODMAN,Goodman Property Services (Aust) Pty Ltd,developer,Australia,AU,,,,,,,,
ENT_GSDC,GreenSquare DC Pty Ltd,developer,Australia,AU,,,,,,,,
ENT_STOCKLAND,Stockland,developer,Australia,AU,,,,,,,,
ENT_LANE_COVE_ALLIANCE,Lane Cove DC Alliance,developer,Australia,AU,,,,,,,,
ENT_SYNCLINE,Syncline Energy,developer,Australia,AU,,,,,,,,
ENT_WDDP,WDDP Pty Ltd,developer,Unknown - not resolvable from public registers,,,,,,,,,
ENT_EQUINIX_SY10,Equinix Hyperscale 2 (SY10) Pty Limited,developer,United States,US,,,,,,,,
ENT_EMKC,EMKC Cubed Management Pty Ltd,developer,Unknown - not resolvable from public registers,,,,,,,,,
ENT_HDI_SYD1,HDI SYD1 Property Holdings Limited,developer,Unknown - not resolvable from public registers,,,,,,,,,
ENT_NINEZERO,The Trustee for NineZero DC Sub Trust I,developer,Unknown - not resolvable from public registers,,,,,,,,,
ENT_TCS_HYPERVAULT,HyperVault (TCS AI data centre business),developer,India,IN,ENT_TCS,Tata Consultancy Services Limited,India,51.0,joint_venture,2025-11-20,0,
ENT_TCS_HYPERVAULT,HyperVault (TCS AI data centre business),developer,India,IN,ENT_TPG,TPG (TPG Capital / TPG Rise Climate),United States,49.0,joint_venture,2025-11-20,0,
ENT_FIRMUS,Firmus Technologies,developer,Australia,AU,,,,,,,,
ENT_IREN,IREN Limited,developer,Australia,AU,,,,,,,,
ENT_MICROSOFT,Microsoft,hyperscaler,United States,US,,,,,,,,
ENT_AWS,Amazon Web Services,hyperscaler,United States,US,,,,,,,,
ENT_GOOGLE,Google,hyperscaler,United States,US,,,,,,,,
ENT_META,Meta,hyperscaler,United States,US,,,,,,,,
ENT_TELSTRA,Telstra,telecom,Australia,AU,,,,,,,,
ENT_SUBCO,SUBCO Consortium,telecom,Australia,AU,,,,,,,,
ENT_MEGAPORT,Megaport,telecom,Australia,AU,,,,,,,,
