id,name,state,market,status,operator,land_or_asset_owner,anchor_tenant,max_capacity_mw,total_capacity_mw,it_capacity_mw,capital_cost_aud,construction_jobs,operational_jobs,connection_type,nca_status,network_business_id,pue_design,battery_mwh,onsite_gas_mw,genset_count,genset_total_mw,diesel_storage_kl,emission_standard,demand_response_pct,cooling_technology,water_source,annual_water_kl,wue_design,nearest_cable_ls_name,nearest_cable_ls_km,fact_status,confidence,as_of_date
SITE_AIRTRUNK_SYD1,AirTrunk SYD1 (Huntingwood),NSW,NEM,operational,AirTrunk,,,,,,,,,distribution,,,,,,,,,,,,,,,,,REPORTED,medium,2026-09-18
SITE_AIRTRUNK_SYD2,AirTrunk SYD2 (Lane Cove),NSW,NEM,operational,AirTrunk,,,,,,,,,,,,,,,,,,,,,,,,,,REPORTED,medium,2026-09-18
SITE_AIRTRUNK_SYD3,AirTrunk SYD3 (Sydney West),NSW,NEM,operational,AirTrunk,,,,,,,,,,,,,,,,,,,,,,,,,,GAP,low,2026-09-18
SITE_MAMRE_ROAD,Mamre Road Data Centre Campus,NSW,NEM,lodged,KNBDC entity group (KNBDC AU Development / AU Financing Holdco / per-project trusts),IFM Investors,,1200.0,,1000.0,5000000000.0,500,500,tbd,,ENT_TRANSGRID,,,,846,,18000.0,to be assessed against NSW Clean Air Regulation Group 6 limits under the 2026 Guidelines,,hybrid,mixed,22400.0,,,,VERIFIED,high,2026-09-18
SITE_NEXTDC_S7,"NEXTDC S7 Data Centre, Eastern Creek",NSW,NEM,lodged,NEXTDC,,OpenAI,612.0,,612.0,7600000000.0,,,tbd,,ENT_TRANSGRID,,,,,,,,,direct_to_chip_liquid,closed_loop_no_makeup,,,,,VERIFIED,high,2026-09-18
SITE_NEXTDC_S1,NEXTDC S1 Sydney,NSW,NEM,operational,NEXTDC,,,,,,,,,,,,,,,,,,,,,,,,,,REPORTED,medium,2026-09-18
SITE_NEXTDC_S2,NEXTDC S2 Sydney,NSW,NEM,operational,NEXTDC,,,,,,,,,,,,,,,,,,,,,,,,,,REPORTED,medium,2026-09-18
SITE_NEXTDC_S3,NEXTDC S3 Sydney,NSW,NEM,operational,NEXTDC,,,,,,,,,,,,,,,,,,,,,,,,,,REPORTED,medium,2026-09-18
SITE_CDC_EC,CDC Eastern Creek campus (EC1-EC4),NSW,NEM,operational,CDC Data Centres,,,,,,,,,,,,,,,,,,,,,,,,,,REPORTED,medium,2026-09-18
SITE_CDC_MARSDEN,Marsden Park Data Centre,NSW,NEM,approved,CDC Data Centres,,,,,720.0,,,,,,,,,,,,,,,,,,,,,VERIFIED,high,2026-09-18
