slug,node_id,title,case_id,stage,case_type,decision,determination_date,determination_authority,development_type,industry,lga,mw_mentions_in_description,description,n_attachments
project-duke-data-centre,77542881,Project Duke Data Centre,SSD-71368959,Determination,State Significant Development,Approved,2025-12-22,Director,Data Storage,Water and Telecommunications,Bayside,,"Construction and operation of a 90 MVA data centre at 2 and 10-22 Kent Road, Mascot",202
51-huntingwood-drive-data-centre,14263831,51 Huntingwood Drive Data Centre,SSD-41589232,Determination,State Significant Development,Approved,2023-09-15,Director,Data Storage,Water and Telecommunications,Blacktown,,,140
augusta-street-data-centre,2561126,Augusta Street Data Centre,SSD-10469,Withdrawn,State Significant Development,,,,Telecommunication Facilities,Water and Telecommunications,Blacktown,,"Construction and operation of a Date Centre including data storage building with 16 data halls, two electrical substations, rooftop plant and equipment, diesel generators, diesel storage, ancillary offices, carparking, hardstand and landscaping.",81
eastern-creek-data-centre-expansion-project,2692556,Eastern Creek Data Centre Expansion Project,SSD-21342738,Determination,State Significant Development,Approved,2023-09-01,Director,Warehouse or distribution centres,Transport & Logistics,Blacktown,,,97
glendenning-road-data-centre,79650596,Glendenning Road Data Centre,SSD-73761707,Determination,State Significant Development,Approved,2026-09-16,Director,Data Storage,Water and Telecommunications,Blacktown,202.4,"Construction and operation of a data centre with a power consumption of 202.4 MW comprising of three, five-storey data centre buildings with a maximum height of 43.2 m, electrical substation, bulk earthworks, car parking and site infrastructure.",177
honeman-close-data-centre,57948451,Honeman Close Data Centre,SSD-58601963,Assessment,State Significant Development,,,,Data Storage,Water and Telecommunications,Blacktown,96,Construction and operation of a new 96MW data centre with associated civil works.,160
marsden-park-data-centre,77042836,Marsden Park Data Centre,SSD-70889211,Determination,State Significant Development,Approved,2025-11-27,Director,Data Storage,Water and Telecommunications,Blacktown,504; 720,"Construction and operation of a data centre with a power consumption of 504 megawatts (MW), comprising of six, four storey data centre buildings, a 720 MW substation, associated hardstand, car parking and landscaping.",307
nextdc-s7-data-centre-eastern-creek,127276401,"NEXTDC S7 Data Centre, Eastern Creek",SSD-113934740,Prepare EIS,State Significant Development,,,,Data Storage,Water and Telecommunications,Blacktown,612,"Construction and operation of a data centre with an operational capacity of 612 MW comprising of three, two-storey data storage buildings including 340 back-up diesel generators, diesel fuel storage, on-site substation, site works and car parking.",78
project-atlas-data-centre-eastern-creek,116690356,Project Atlas Data Centre Eastern Creek,SSD-101067971,Response to Submissions,State Significant Development,,,,Data Storage,Water and Telecommunications,Blacktown,,,125
project-echidna-data-centre-eastern-creek,30062316,Project Echidna Data Centre Eastern Creek,SSD-47320208,Determination,State Significant Development,Approved,2024-04-05,Executive Director,Data Storage,Water and Telecommunications,Blacktown,35,"Construction and Operation of a Data Centre with an operational capacity of 35MW including data hall fitout, associated emergency back-up generators and cooling plant, office space, equipment rooms and car parking.",114
roberts-road-data-centre,2366206,Roberts Road Data Centre,SSD-10330,Determination,State Significant Development,Approved,2020-07-14,Executive Director,Warehouse or distribution centres,Transport & Logistics,Blacktown,,,123
station-road-data-centre-expansion,2740026,Station Road Data Centre Expansion,SSD-33781208,Determination,State Significant Development,Approved,2022-12-16,Director,Data Storage,Water and Telecommunications,Blacktown,,,120
43-61-turner-road-data-centre,74125891,43-61 Turner Road Data Centre,SSD-68013714,Determination,State Significant Development,Approved,2025-11-21,Director,Data Storage,Water and Telecommunications,Camden,,,94
52-turner-road-data-centre,61710496,52 Turner Road Data Centre,SSD-60185233,Withdrawn,State Significant Development,,,,Data Storage,Water and Telecommunications,Camden,40,"Construction and operation of a data centre with a capacity of 40 MW including emergency back-up generators, cooling plant, diesel and lithium ion battery storage, substation and associated infrastructure.",5
kurri-kurri-data-centre,143223371,Kurri Kurri Data Centre,SSD-128819490,Prepare EIS,State Significant Development,,,,Data Storage,Water and Telecommunications,Cessnock City,,,83
grand-avenue-data-centre-expansion-rosehill,47040831,"Grand Avenue Data Centre Expansion, Rosehill",SSD-53338465,Determination,State Significant Development,Approved,2024-12-16,Director,Data Storage,Water and Telecommunications,City of Parramatta,,"Construction and operation of an expansion to an existing data centre, with an overall height of 25.8 metres.",147
1-5-khartoum-road-data-centre,67800006,1-5 Khartoum Road Data Centre,SSD-63235720,Determination,State Significant Development,Approved,2026-03-11,Director,Data Storage,Water and Telecommunications,City of Ryde,35,"Construction and operation of a 5 storey data centre with a building height of 45 m and a capacity of 35 MW, diesel storage, part road construction, landscaping, carparking and associated infrastructure.",142
23-25-waterloo-road-data-centre,112607096,23-25 Waterloo Road Data Centre,SSD-91297457,Prepare EIS,State Significant Development,,,,Data Storage,Water and Telecommunications,City of Ryde,70,"Construction and operation of a data centre with total power consumption of 70 megawatts at 23-25 Waterloo Road, Macquarie Park",111
julius-avenue-data-centre,96214911,Julius Avenue Data Centre,SSD-80018208,Assessment,State Significant Development,,,,Data Storage,Water and Telecommunications,City of Ryde,,,212
macquarie-park-data-centre,2555826,Macquarie Park Data Centre,SSD-10467,Determination,State Significant Development,Approved,2021-05-28,Director,Warehouse or distribution centres,Transport & Logistics,City of Ryde,,,95
nextdc-s5-data-centre-and-innovation-hub,67741266,NEXTDC S5 Data Centre and Innovation Hub,SSD-63168959,Assessment,State Significant Development,,,,Data Storage,Water and Telecommunications,City of Ryde,,,253
project-apollo-data-centre-macquarie-park,79882231,Project Apollo Data Centre Macquarie Park,SSD-74069708,Determination,State Significant Development,Approved,2026-09-02,Director,Data Storage,Water and Telecommunications,City of Ryde,,,155
road-1-data-centre,98651741,Road 1 Data Centre,SSD-80814238,Assessment,State Significant Development,,,,Data Storage,Water and Telecommunications,City of Ryde,34.3,"Construction and operation of a data centre with a power capacity of 34.3 MW and maximum building height of 73.4 m (10 Storeys) including plant and equipment, part road construction, car parking, landscaping and public domain works.",99
talavera-road-data-centre-campus-expansion,2706486,Talavera Road Data Centre Campus Expansion,SSD-24299707,Determination,State Significant Development,Approved,2024-01-19,IPC-N,Data Storage,Water and Telecommunications,City of Ryde,,,130
waterloo-road-data-centre-esr-developments,59835601,Waterloo Road Data Centre (ESR Developments),SSD-59516710,,State Significant Development,,,,Data Storage,Water and Telecommunications,City of Ryde,,"Construction and operation of a new data centre, with an overall height of 65 metres.",50
22-oriordan-street-alexandria-data-centre,84523621,"22 O'Riordan Street, Alexandria - Data Centre",SSD-77274467,Prepare EIS,State Significant Development,,,,Data Storage,Water and Telecommunications,City of Sydney,38,"Construction and operation of a data centre with a power capacity of 38 MW including a demolition, 3-5 storey data centre building including commercial ground floor level, landscaping and associated utilities and infrastructure.",5
digico-syd1-data-centre-expansion,75575896,DigiCo SYD1 Data Centre Expansion,SSD-69637456,Determination,State Significant Development,Approved,2025-12-23,Executive Director,Data Storage,Water and Telecommunications,City of Sydney,,,184
project-pluto-data-centre,75218696,Project Pluto Data Centre,SSD-69223466,Determination,State Significant Development,Approved,2026-07-23,Director,Data Storage,Water and Telecommunications,Cumberland,126,"Construction and operation of a data centre with a load capacity of 126 MW comprising of two, three-storey buildings, substations, ancillary office space, car parking, landscaping and demolition works.",158
davis-road-data-centre-cundall,59405601,Davis Road Data Centre (Cundall),SSD-59416728,Determination,State Significant Development,Approved,2024-12-20,Director,Data Storage,Water and Telecommunications,Fairfield City,180,"Construction and operation of two data centre buildings and associated infrastructure, with an overall power consumption of 180 megawatts (MW)",118
nextdc-s4-data-centre-phase-2-horsley-park,121851006,"NEXTDC S4 Data Centre Phase 2, Horsley Park",SSD-108864209,Prepare EIS,State Significant Development,,,,Data Storage,Water and Telecommunications,Fairfield City,134.4,"Construction and operation of a data centre facility with a maximum power consumption of 134.4 megawatts comprising of two data centre buildings, plant and equipment, diesel storage and associated site infrastructure.",120
nextdc-s4-data-centre-horsley-park,68004716,NEXTDC S4 Data Centre Horsley Park,SSD-63741210,Determination,State Significant Development,Approved,2025-12-24,Executive Director,Data Storage,Water and Telecommunications,Fairfield City; Blacktown,,,260
apollo-place-data-centre,73459971,Apollo Place Data Centre,SSD-67407231,Determination,State Significant Development,Approved,2025-10-09,Director,Data Storage,Water and Telecommunications,Lane Cove,,,212
lane-cove-west-data-centre,2165156,Lane Cove West Data Centre,SSD-9741,Determination,State Significant Development,Approved,2019-11-15,Executive Director,Warehouse or distribution centres,Transport & Logistics,Lane Cove,,,144
mars-road-data-centre,125579161,Mars Road Data Centre,SSD-108835458,Prepare EIS,State Significant Development,,,,Data Storage,Water and Telecommunications,Lane Cove,,"Construction and operation of a 140-megawatt data centre with a maximum building height of up to 37.4 metres in Lane Cove West, between Apollo Place and Mars Road.",59
mowbray-road-data-centre,2655316,Mowbray Road Data Centre,SSD-13475973,Withdrawn,State Significant Development,,,,Warehouse or distribution centres,Transport & Logistics,Lane Cove,,,68
project-mars-data-centre,101723051,Project Mars Data Centre,SSD-82052708,Response to Submissions,State Significant Development,,,,Data Storage,Water and Telecommunications,Lane Cove,,,84
aldington-road-data-centre,125579301,Aldington Road Data Centre,SSD-112059740,Prepare EIS,State Significant Development,,,,Data Storage,Water and Telecommunications,Penrith,,,67
kc1-data-centre-kemps-creek,150287201,"KC1 Data Centre, Kemps Creek",SSD-133677993,Prepare EIS,State Significant Development,,,,Data Storage,Water and Telecommunications,Penrith,144,"Construction and operation of a four storey data centre building with a total power consumption of 144 MW including an electrical substation, cooling plant and equipment, backup diesel generators and diesel storage, internal roads and landscaping.",32
kemps-creek-data-centre,2626371,Kemps Creek Data Centre,SSD-10101987,Determination,State Significant Development,Approved,2023-07-13,Director,Warehouse or distribution centres,Transport & Logistics,Penrith,,"Construction and Operation of a Data Centre including two data storage buildings, 61 generators, substation, high voltage switch yard, 30 diesel storage tanks, office, internal access roads and landscaping.",119
mamre-road-data-centre-campus,113297336,Mamre Road Data Centre Campus,SSD-92743706,Response to Submissions,State Significant Development,,,,Data Storage,Water and Telecommunications,Penrith,,"Construction and operation of a data centre campus with a power capacity of 1 GW including six four-storey data centre buildings, 936 cooling units, 852 diesel back-up generators and 14,430 kl of diesel storage, internal roads and car parking.",321
stack-syd01-data-centre-erskine-park,102022631,"STACK SYD01 Data Centre, Erskine Park",SSD-82211208,Assessment,State Significant Development,,,,Data Storage,Water and Telecommunications,Penrith; Blacktown,450,"Construction and operation of a data centre with an operational capacity of 450 MW including a building height of 24 m, 82,020 sqm of GFA, substation, water storage, ancillary infrastructure and landscaping.",209
dci-poplars-data-centre-project-0,68460606,DCI Poplars Data Centre Project,SSD-64287712,Determination,State Significant Development,Approved,2025-11-06,Director,Warehouse or distribution centres,Transport & Logistics,Queanbeyan-Palerang Regional,,,76
dicker-data-warehouse-and-distribution-centre,2209761,Dicker Data Warehouse and Distribution Centre,SSD-8662,Determination,State Significant Development,Approved,2019-04-12,Executive Director,Warehouse or distribution centres,Transport & Logistics,Sutherland Shire,,,60
brookhollow-avenue-data-centre-expansion-norwest,101388506,"Brookhollow Avenue Data Centre Expansion, Norwest",SSD-81928961,Response to Submissions,State Significant Development,,,,Data Storage,Water and Telecommunications,The Hills Shire,,Construction and operation of an expansion to an existing data centre.,73
frederick-street-data-centre,161318501,Frederick Street Data Centre,SSD-139545990,Prepare EIS,State Significant Development,,,,Data Storage,Water and Telecommunications,Willoughby City,81,"Construction and operation of a data centre with a load capacity of 81 MW comprising of one five-storey building, substations, ancillary office space, car parking, landscaping and demolition works.",21
lanceley-place-data-centre-artarmon,72133796,"Lanceley Place Data Centre, Artarmon",SSD-66777221,Determination,State Significant Development,Approved,2025-04-11,Director,Data Storage,Water and Telecommunications,Willoughby City,,,145
