project,case_id,title,determination_date,date_source,determination_date_portal,determination_authority_portal,file_ref,delegation_of,delegation_executed,signatory_name,signatory_title,applicant,consent_authority,chars,chars_per_kb,reliable,decision_portal,renewable_ppa_additionality,all_times_matching,pue,wue,recycled_or_nonpotable_water,generator_hours_cap,nox_mass_cap,nox_concentration_limit,stack_height,annual_emissions_testing,diesel_storage_cap,installed_genset_cap,total_power_cap,demand_response,battery_storage,website_disclosure,noise_limits,tier_standard,clean_air_regulation,net_zero_or_offsets,guidelines_cited,reliable_note
1-5-khartoum-road-data-centre,SSD-63235720,Signed - SSD Determination Instrument,2026-03-11,instrument:cover:'<date> File:<ref>',2026-03-11,Director,EF23/14121,Minister for Planning and Public Spaces,2022-03-09,Joanna Bakopanos,A/Director / Industry Assessments,Stockland Development Pty Limited,Minister for Planning and Public Spaces,117984,77.5,True,Approved,,3,2,,,200,,,,4,"2,000",84,76.4,2,1,4,13,,3,3,,
43-61-turner-road-data-centre,SSD-68013714,Signed - Determination Instrument,2025-11-21,instrument:cover:'Sydney <date>',2025-11-21,Director,,Minister for Planning and Public Spaces,2022-03-09,Joanna Bakopanos,A/Director / Industry Assessments,ARUP Pty Ltd,Minister for Planning and Public Spaces,106765,68.8,True,Approved,,2,,,,200,,,,,"2,000",74,61.7,2,1,2,11,1,1,2,,
51-huntingwood-drive-data-centre,SSD-41589232,SSD Instrument of Consent,2023-09-15,instrument:cover:'Sydney <date>',2023-09-15,Director,,Minister for Planning and Public Spaces,2022-03-09,Chris Ritchie,Director / Industry Assessments,EMKC Cubed Management Pty Ltd,Minister for Planning and Public Spaces,118570,72.7,True,Approved,,4,,,,200,,,1,,,632,,2,1,2,10,,2,4,,
apollo-place-data-centre,SSD-67407231,SSD-67407231 Instrument of Consent,2025-10-09,instrument:cover:'<date> File:<ref>',2025-10-09,Director,EF24/1723,Minister for Planning and Public Spaces,2022-03-09,Joanna Bakopanos,"A/Director, Industry Assessments",EMKC Cubed Management Pty Ltd,Minister for Planning and Public Spaces,93096,112.0,True,Approved,,3,,,,200,,,,,"2,000",63.8,45,2,,2,14,,1,5,,
davis-rd-data-centre-mod-1-tree-removal-correction,SSD-59416728,Instrument of Consent,2025-08-15,instrument:cover:'<date> File:<ref>',2025-08-15,Team Leader,EF25/10654,Minister for Planning and Public Spaces,2022-03-09,Catriona Shirley,A/Team Leader / Industry Assessments,Cundall Johnston and Partners Pty Ltd,Minister for Planning and Public Spaces,4398,28.2,True,Approved,,,,,,,,,,,,,160.85,,,,,,,,,
davis-road-data-centre-cundall,SSD-59416728,SIGNED Determination Instrument - Davis Road Data Centre,2024-12-20,instrument:cover:'<date> File:<ref>',2024-12-20,Director,EF23/7568,Minister for Planning and Public Spaces,2022-03-09,Joanna Bakopanos,A/Director / Industry Assessments,Cundall Johnston and Partners Pty Ltd,Minister for Planning and Public Spaces,96588,74.6,True,Approved,,2,,,,200,,,,,,181.92,160.85,1,,2,10,,1,4,,
dci-poplars-data-centre-project-0,SSD-64287712,DCI Poplars - Instrument of Consent,2025-11-06,instrument:cover:'<date> File:<ref>',2025-11-06,Director,EF23/15259,Minister for Planning and Public Spaces,2022-03-09,Joanna Bakopanos,A/Director / Industry Assessments,The Trustee for NineZero DC Sub Trust I,Minister for Planning and Public Spaces,76914,50.2,True,Approved,,4,1,,,200,,,,,"2,000",35,25.4,2,1,1,12,,1,1,,
dicker-data-warehouse-and-distribution-centre,SSD8662,SSD 8662 - Development Consent,2019-04-12,portal-node-metadata,2019-04-12,Executive Director,DOC18/721211,Minister for Planning,2017-10-11,Anthea Sargeant,Executive Director / Key Sites and Industry Assessments,Dicker Data Limited,Minister for Planning,67262,27.9,True,Approved,,2,,,,,,,,,,,,,,3,1,,,1,,
digico-syd1-data-centre-expansion,SSD-69637456,Signed - SSD Instrument of Consent,2025-12-23,instrument:cover:'Sydney <date>',2025-12-23,Executive Director,,Minister for Planning and Public Spaces,2022-03-09,Chris Ritchie,"Executive Director / Energy, Resources and Industry Assessments",HDI SYD1 Property Holdings Limited,Minister for Planning and Public Spaces,109253,157.0,True,Approved,,1,1,1,1,200,,,,,"2,000",140.4,,2,,2,13,,1,6,,
glendenning-road-data-centre,SSD-73761707,Signed - SSD Instrument of Consent,2026-09-14,instrument:cover:'<date> File:<ref>',2026-09-16,Director,EF24/10658,Minister for Planning and Public Spaces,2026-08-18,Joanna Bakopanos,A/Director / Industry Assessments,Lehr Consultants International (Australia) Pty Ltd,Minister for Planning and Public Spaces,94547,44.6,True,Approved,3,4,3,3,3,170,1,,1,4,"2,000",267.45,235,4,1,5,16,,1,5,,
