Organisation name,Identifying details,Total scope 1 emissions (t CO2-e),Total scope 2 emissions (t CO2-e),Net energy consumed (GJ),Important notes
AGL ENERGY LIMITED,74 115 061 375,"30,439,497","247,661","233,755,617",-
ENERGYAUSTRALIA HOLDINGS LIMITED,57 101 876 135,"17,580,946","247,152","141,704,040",-
STANWELL CORPORATION LIMITED,37 078 848 674,"16,229,932","51,049","117,359,330",-
ORIGIN ENERGY LIMITED,30 000 051 696,"15,797,721","2,251,143","139,593,414",-
CHEVRON AUSTRALIA HOLDINGS PTY LTD,60 098 079 344,"13,067,963","1,354","148,952,943",-
PIONEER SAIL HOLDINGS PTY LIMITED,45 617 844 569,"10,456,586","5,308","84,483,768",-
C S ENERGY LIMITED,54 078 848 745,"10,412,812","82,557","73,834,236","Please note that where more than one person has operational control over a facility at the same time and no nomination of operational control has been made, data for the facility for the entire period must be reported by the controlling corporation of each entity with operational control. This results in the same facility being reported multiple times.
C S ENERGY LIMITED and IG POWER HOLDINGS LIMITED, have each included the same data for the Callide C Power Station in their NGER reports. For further information refer to the 2024–25 Greenhouse and energy information for designated generation facilities."
WOODSIDE ENERGY GROUP LTD,55 004 898 962,"8,178,233","5,443","128,500,073",-
RIO TINTO LIMITED,96 004 458 404,"7,413,234","6,938,447","145,138,974",-
NRG VICTORIA I PTY LTD,26 076 286 578,"6,366,079","46,994","48,639,651",-
INPEX HOLDINGS AUSTRALIA PTY LTD,61 150 217 315,"6,255,335",612,"69,063,980",-
BLUESCOPE STEEL LIMITED,16 000 011 058,"6,223,931","786,481","73,728,065",-
SEV.EN GLOBAL INVESTMENTS PTY LTD,52 661 272 233,"6,109,713","71,114","42,046,913",-
GLENCORE HOLDINGS PTY LIMITED,41 104 160 689,"5,675,503","1,295,857","57,997,498",-
ALCOA AUSTRALIAN HOLDINGS PTY LTD,33 096 987 370,"5,312,947","3,261,567","108,118,414",-
QANTAS AIRWAYS LIMITED,16 009 661 901,"4,622,401","57,564","67,860,576",-
GENUITY PTY LTD,34 128 655 096,"4,347,490","4,149","33,565,945",-
ELECTRICITY GENERATION AND RETAIL CORPORATION,58 673 830 106,"4,280,875","59,611","38,135,877",-
IG POWER HOLDINGS LIMITED,51 082 413 876,"3,699,076","38,084","24,690,412","Please note that where more than one person has operational control over a facility at the same time and no nomination of operational control has been made, data for the facility for the entire period must be reported by the controlling corporation of each entity with operational control. This results in the same facility being reported multiple times.
C S ENERGY LIMITED and IG POWER HOLDINGS LIMITED, have each included the same data for the Callide C Power Station in their NGER reports. For further information refer to the 2024–25 Greenhouse and energy information for designated generation facilities."
