Organisation name,Identifying details,Does this total cover all facilities that give rise to scope 2 emissions in the corporate group?,Total market-based scope 2 emissions (t CO2-e)
A.C.N. 166 119 133 PTY LTD,31 166 119 133,Yes,"110,918"
AGL ENERGY LIMITED,74 115 061 375,Yes,"253,068"
APA INFRASTRUCTURE LIMITED,89 009 666 700,Yes,225
AURIZON HOLDINGS LIMITED,14 146 335 622,Yes,"257,059"
AUSTRALIAN NATIONAL UNIVERSITY,52 234 063 906,Yes,"7,454"
COMMONWEALTH BANK OF AUSTRALIA,48 123 123 124,Yes,0
EPSILON DISTRIBUTION MINISTERIAL HOLDING CORPORATION,59 253 130 878,Yes,4
HYDRO-ELECTRIC CORPORATION,48 072 377 158,Yes,"72,690"
ICON WATER LIMITED,86 069 381 960,Yes,"3,589"
JB HI-FI LIMITED,80 093 220 136,Yes,"50,557"
LION PTY LTD,50 128 004 268,Yes,"14,536"
MONASH UNIVERSITY,12 377 614 012,Yes,"22,921"
ORORA LIMITED,55 004 275 165,Yes,"132,079"
QUEENSLAND BULK WATER SUPPLY AUTHORITY,75 450 239 876,Yes,"91,274"
SGSP (AUSTRALIA) ASSETS PTY LTD,60 126 327 624,No (15% of facilities),28
SNOWY HYDRO LIMITED,17 090 574 431,Yes,"388,233"
SOUTH32 LIMITED,84 093 732 597,Yes,"330,320"
THALES AUSTRALIA HOLDINGS PTY LTD,84 058 583 841,No (14% of facilities),"16,423"
TRANSURBAN HOLDINGS LIMITED,86 098 143 429,Yes,"104,176"
VEOLIA HOLDINGS AUSTRALIA PTY LTD,82 663 593 093,No (3% of facilities),"2,431"
VIRGIN AUSTRALIA HOLDINGS LIMITED,54 100 686 226,Yes,"7,087"
