Organisation name,Identifying details,Were market-based scope 2 emissions reported for all eligible facilities? ,"Total market-based scope 2 emissions 
(t CO2-e)"
A.C.N. 166 119 133 PTY LTD,31 166 119 133,Yes,"122,112"
AGL ENERGY LIMITED,74 115 061 375,No (93% of facilities),"249,493"
ALDI PTY LTD,68 086 493 950,No (94% of facilities),0
AMPOL LIMITED,40 004 201 307,Yes,"200,780"
APA INFRASTRUCTURE LIMITED,89 009 666 700,Yes,0
AURIZON HOLDINGS LIMITED,14 146 335 622,Yes,"212,443"
AUSTRALIAN NATIONAL UNIVERSITY,52 234 063 906,Yes,"1,958"
BEMCOVE PTY. LTD.,91 010 843 606,Yes,673
COMMONWEALTH BANK OF AUSTRALIA,48 123 123 124,Yes,0
DOWNER EDI LIMITED,97 003 872 848,No (98% of facilities),"20,648"
ENDEAVOUR ENERGY NETWORK MANAGEMENT PTY LTD,22 617 221 495,Yes,6
FUJITSU AUSTRALIA LTD,19 001 011 427,Yes,"28,945"
GOLDEN M NSW PTY LTD,62 674 991 345,Yes,"272,880"
HYDRO-ELECTRIC CORPORATION,48 072 377 158,Yes,"68,815"
ICON WATER LIMITED,86 069 381 960,Yes,387
JB HI-FI LIMITED,80 093 220 136,Yes,"42,006"
LION PTY LTD,50 128 004 268,Yes,"13,317"
LOCHARD ENERGY (IONA OPERATIONS HOLDING) PTY LTD,23 608 441 041,Yes,941
MIRVAC LIMITED,92 003 280 699,No (11% of facilities),0
MONASH UNIVERSITY,12 377 614 012,No (92% of facilities),"11,974"
NEXTDC LIMITED,35 143 582 521,No (94% of facilities),"345,432"
ORORA LIMITED,55 004 275 165,Yes,"131,947"
PTH NO 1 PTY LTD,43 611 116 155,Yes,"22,913"
QUEENSLAND BULK WATER SUPPLY AUTHORITY,75 450 239 876,Yes,"71,219"
SGSP (AUSTRALIA) ASSETS PTY LTD,60 126 327 624,No (14% of facilities),14
SNOWY HYDRO LIMITED,17 090 574 431,Yes,"551,887"
SOUTH32 LIMITED,84 093 732 597,Yes,"61,065"
THALES AUSTRALIA HOLDINGS PTY LTD,84 058 583 841,No (40% of facilities),"10,692"
THE UNIVERSITY OF SYDNEY,15 211 513 464,Yes,0
TRANSURBAN HOLDINGS LIMITED,86 098 143 429,Yes,"103,171"
VEOLIA HOLDINGS AUSTRALIA PTY LTD,82 663 593 093,Yes,"106,516"
VIRGIN AUSTRALIA HOLDINGS LIMITED,54 100 686 226,Yes,"5,521"
WASTE ASSETS MANAGEMENT CORPORATION,56 784 733 957,No (67% of facilities),307
WEBUILD S.P.A.,83 159 573 896,No (50% of facilities),"3,379"
