Liable entity,Assessment year,LGC liability (Number of certificates)#,LGCs accepted for surrender,Remaining LGC Shortfall (Number of certificates),LGC shortfall (percentage of total LGC liability),"LGC shortfall charge issued (Y/N) *","LGCs surrendered for refund *",Value of LGC shortfall charge ($),LGC shortfall status *
NT Power Generation Pty Ltd,2001,182,0,182,100.00,-,-,"7,280 ",-
Redbank Project Pty Limited,2001,183,0,183,100.00,-,-,"7,320 ",-
Synergen Power Pty Limited,2001,2,0,2,100.00,-,-,80 ,-
Yamasa Australia Pty Ltd,2001,5,0,5,100.00,-,-,200 ,-
Redbank Project Pty Limited,2002,25,0,25,100.00,-,-,"1,000 ",-
Yamasa Australia Pty Ltd,2002,13,0,13,100.00,-,-,520 ,-
Yamasa Australia Pty Ltd,2003,13,0,13,100.00,-,-,520 ,-
Yamasa Australia Pty Ltd,2004,20,0,20,100.00,-,-,800 ,-
Yamasa Australia Pty Ltd,2005,18,0,18,100.00,-,-,720 ,-
Queensland Power Trading Corporation,2007,9,0,9,100.00,-,-,360 ,-
GoEnergy Pty Ltd,2009,"16,056",408,"15,648",97.45,-,-,"625,920 ",-
Sanctuary Energy Pty Ltd,2009,195,172,23,11.79,-,-,920 ,-
Independent Electricity Retail Solutions Pty Ltd,2010,10,0,10,100.00,-,-,650 ,-
Sanctuary Energy Pty Ltd,2010,"1,596",0,"1,596",100.00,-,-,"103,740 ",-
Independent Electricity Retail Solutions Pty Ltd,2011,1,0,1,100.00,-,-,65 ,-
Sanctuary Energy Pty Ltd,2011,"2,426",0,"2,426",100.00,-,-,"157,690 ",-
Redbank Project Pty Limited,2013,120,0,120,100.00,-,-,"7,800 ",-
GoEnergy Pty Ltd,2014,244,215,29,11.88,-,-,"1,885 ",-
GoEnergy Pty Ltd,2015,"10,917",0,"10,917",100.00,-,-,"709,605 ",-
Urth Energy Pty Ltd,2015,1,0,1,100.00,-,-,65 ,-
Alinta Energy Retail Sales Pty. Ltd.,2016,"344,037","221,970","122,107",35.49,-,-,"7,936,955 ",-
Alinta Sales Pty Ltd,2016,"219,197","140,331","78,865",35.97,-,-,"5,126,225 ",-
COzero Energy Retail Pty Ltd,2016,"16,135",0,"16,135",100.00,-,-,"1,048,775 ",-
GoEnergy Pty Ltd,2016,"14,485",0,"14,485",100.00,-,-,"941,525 ",-
Sumo Power Pty Ltd,2016,"8,255","8,254",1,100.00,-,-,65 ,-
Urth Energy Pty Ltd,2016,"1,783",0,"1,783",100.00,-,-,"115,895 ",-
Change Energy Pty LTd,2017,"1,520",0,"1,520",100.00,-,-,"98,800 ",-
COzero Energy Retail Pty Ltd,2017,"4,995",0,"4,995",100.00,-,-,"324,675 ",-
Karara Energy Pty Ltd,2017,"23,217","20,657","2,560",11.02,-,-,"166,400 ",-
Mojo Power Pty Ltd,2017,"7,494",250,"7,213",96.25,-,-,"468,845 ",-
Urth Energy Pty Ltd,2017,497,0,497,100.00,-,-,"32,305 ",-
COzero Energy Retail Pty Ltd,2018,53,0,53,100.00,-,-,"3,445 ",-
Onsite Energy Solutions Pty Ltd,2018,4,3,1,25.00,-,-,65 ,-
Alinta DEWAP Pty Ltd,2019,"96,057",0,0,100.00,Yes,"96,057",0 ,Charge fully refunded
Alinta Energy Retail Sales Pty. Ltd.,2019,"927,555","245,096",0,73.57,Yes,"682,459",0 ,Charge fully refunded
Alinta Energy Transmission (Roy Hill) Pty Ltd,2019,"46,953",0,0,100.00,Yes,"46,953",0 ,Charge fully refunded
Alinta Sales Pty Ltd,2019,"519,999",931,0,99.82,Yes,"519,068",0 ,Charge fully refunded
AUSTRALIAN POWER PARTNERS B V and Others,2019,"3,536",0,0,100.00,Yes,"3,536",0 ,Charge fully refunded
Change Energy Pty LTd,2019,"12,647",0,0,100.00,Yes,"12,647",0 ,Charge fully refunded
ELECTRICITY GENERATION AND RETAIL CORPORATION,2019,"1,512,887","999,838",0,33.17,Yes,"513,049",0 ,Charge fully refunded
IPOWER 2 PTY LIMITED and IPOWER PTY LIMITED TA Simply Energy,2019,"582,536",280,0,99.95,Yes,"582,256",0 ,Charge fully refunded
Lumo Energy (NSW) Pty Ltd,2019,732,0,0,100.00,Yes,732,0 ,Charge fully refunded
Lumo Energy (QLD) Pty Ltd,2019,"1,323",0,0,100.00,Yes,"1,323",0 ,Charge fully refunded
Lumo Energy (SA) Pty Ltd,2019,"41,062",0,0,100.00,Yes,"41,062",0 ,Charge fully refunded
Lumo Energy Australia Pty Ltd,2019,"154,174",0,0,100.00,Yes,"154,174",0 ,Charge fully refunded
