id,case_id,project_slug,officer_name,officer_role,acting,consent_authority,delegation_date,decision_date,file_reference,notes,fact_status,source_id,confidence,as_of_date
1,SSD-63235720,1-5-khartoum-road-data-centre,Shaun Williams,case_planner,0,,,,,"Named as 'Planner' in field_party_role on the NSW planning portal node record. These are NSW assessment officers, not external consultants.",VERIFIED,SRC_PORTAL_PLANNERS,high,2026-09-18
2,SSD-10479-Mod-8,200-aldington-mod-8-amendments-road-upgrade-works-and-timing,David Schwebel,case_planner,0,,,,,"Named as 'Planner' in field_party_role on the NSW planning portal node record. These are NSW assessment officers, not external consultants.",VERIFIED,SRC_PORTAL_PLANNERS,high,2026-09-18
3,SSD-77274467,22-oriordan-street-alexandria-data-centre,Shaun Williams,case_planner,0,,,,,"Named as 'Planner' in field_party_role on the NSW planning portal node record. These are NSW assessment officers, not external consultants.",VERIFIED,SRC_PORTAL_PLANNERS,high,2026-09-18
4,SSD-91297457,23-25-waterloo-road-data-centre,Patrick Copas,case_planner,0,,,,,"Named as 'Planner' in field_party_role on the NSW planning portal node record. These are NSW assessment officers, not external consultants.",VERIFIED,SRC_PORTAL_PLANNERS,high,2026-09-18
5,SSD-68013714,43-61-turner-road-data-centre,Shaun Williams,case_planner,0,,,,,"Named as 'Planner' in field_party_role on the NSW planning portal node record. These are NSW assessment officers, not external consultants.",VERIFIED,SRC_PORTAL_PLANNERS,high,2026-09-18
6,SSD-41589232-Mod-2,51-huntingwood-drive-data-centre-mod-2-design-updates,Shaun Williams,case_planner,0,,,,,"Named as 'Planner' in field_party_role on the NSW planning portal node record. These are NSW assessment officers, not external consultants.",VERIFIED,SRC_PORTAL_PLANNERS,high,2026-09-18
7,SSD-41589232,51-huntingwood-drive-data-centre,Shaun Williams,case_planner,0,,,,,"Named as 'Planner' in field_party_role on the NSW planning portal node record. These are NSW assessment officers, not external consultants.",VERIFIED,SRC_PORTAL_PLANNERS,high,2026-09-18
8,SSD-60185233,52-turner-road-data-centre,Shaun Williams,case_planner,0,,,,,"Named as 'Planner' in field_party_role on the NSW planning portal node record. These are NSW assessment officers, not external consultants.",VERIFIED,SRC_PORTAL_PLANNERS,high,2026-09-18
9,SSD-112059740,aldington-road-data-centre,Patrick Copas,case_planner,0,,,,,"Named as 'Planner' in field_party_role on the NSW planning portal node record. These are NSW assessment officers, not external consultants.",VERIFIED,SRC_PORTAL_PLANNERS,high,2026-09-18
10,SSD-67407231,apollo-place-data-centre,Jeffrey Peng,case_planner,0,,,,,"Named as 'Planner' in field_party_role on the NSW planning portal node record. These are NSW assessment officers, not external consultants.",VERIFIED,SRC_PORTAL_PLANNERS,high,2026-09-18
11,SSD-10469,augusta-street-data-centre,Shaun Williams,case_planner,0,,,,,"Named as 'Planner' in field_party_role on the NSW planning portal node record. These are NSW assessment officers, not external consultants.",VERIFIED,SRC_PORTAL_PLANNERS,high,2026-09-18
12,SSD-81928961,brookhollow-avenue-data-centre-expansion-norwest,Shaun Williams,case_planner,0,,,,,"Named as 'Planner' in field_party_role on the NSW planning portal node record. These are NSW assessment officers, not external consultants.",VERIFIED,SRC_PORTAL_PLANNERS,high,2026-09-18
13,SSD-59416728-Mod-1,davis-rd-data-centre-mod-1-tree-removal-correction,Dave Auster,case_planner,0,,,,,"Named as 'Planner' in field_party_role on the NSW planning portal node record. These are NSW assessment officers, not external consultants.",VERIFIED,SRC_PORTAL_PLANNERS,high,2026-09-18
14,SSD-59416728,davis-road-data-centre-cundall,Shaun Williams,case_planner,0,,,,,"Named as 'Planner' in field_party_role on the NSW planning portal node record. These are NSW assessment officers, not external consultants.",VERIFIED,SRC_PORTAL_PLANNERS,high,2026-09-18
15,SSD-64287712,dci-poplars-data-centre-project-0,Patrick Copas,case_planner,0,,,,,"Named as 'Planner' in field_party_role on the NSW planning portal node record. These are NSW assessment officers, not external consultants.",VERIFIED,SRC_PORTAL_PLANNERS,high,2026-09-18
16,MP08_0259-Mod-7,dexus-estate-mod-7-data-centre-site-layout,Shaun Williams,case_planner,0,,,,,"Named as 'Planner' in field_party_role on the NSW planning portal node record. These are NSW assessment officers, not external consultants.",VERIFIED,SRC_PORTAL_PLANNERS,high,2026-09-18
17,SSD-8662,dicker-data-warehouse-and-distribution-centre,Chloe Dunlop,case_planner,0,,,,,"Named as 'Planner' in field_party_role on the NSW planning portal node record. These are NSW assessment officers, not external consultants.",VERIFIED,SRC_PORTAL_PLANNERS,high,2026-09-18
18,SSD-69637456,digico-syd1-data-centre-expansion,Shaun Williams,case_planner,0,,,,,"Named as 'Planner' in field_party_role on the NSW planning portal node record. These are NSW assessment officers, not external consultants.",VERIFIED,SRC_PORTAL_PLANNERS,high,2026-09-18
19,SSD-21342738,eastern-creek-data-centre-expansion-project,Pamela Morales,case_planner,0,,,,,"Named as 'Planner' in field_party_role on the NSW planning portal node record. These are NSW assessment officers, not external consultants.",VERIFIED,SRC_PORTAL_PLANNERS,high,2026-09-18
20,SSD-21342738-Mod-2,eastern-creek-data-centre-mod-2-power-consumption-increase,Patrick Copas,case_planner,0,,,,,"Named as 'Planner' in field_party_role on the NSW planning portal node record. These are NSW assessment officers, not external consultants.",VERIFIED,SRC_PORTAL_PLANNERS,high,2026-09-18
21,SSD-139545990,frederick-street-data-centre,Shaun Williams,case_planner,0,,,,,"Named as 'Planner' in field_party_role on the NSW planning portal node record. These are NSW assessment officers, not external consultants.",VERIFIED,SRC_PORTAL_PLANNERS,high,2026-09-18
22,SSD-73761707,glendenning-road-data-centre,Shaun Williams,case_planner,0,,,,,"Named as 'Planner' in field_party_role on the NSW planning portal node record. These are NSW assessment officers, not external consultants.",VERIFIED,SRC_PORTAL_PLANNERS,high,2026-09-18
23,SSD-53338465,grand-avenue-data-centre-expansion-rosehill,Thomas Bertwistle,case_planner,0,,,,,"Named as 'Planner' in field_party_role on the NSW planning portal node record. These are NSW assessment officers, not external consultants.",VERIFIED,SRC_PORTAL_PLANNERS,high,2026-09-18
24,SSD-58601963,honeman-close-data-centre,Patrick Copas,case_planner,0,,,,,"Named as 'Planner' in field_party_role on the NSW planning portal node record. These are NSW assessment officers, not external consultants.",VERIFIED,SRC_PORTAL_PLANNERS,high,2026-09-18
25,SSD-80018208,julius-avenue-data-centre,Catriona Shirley,case_planner,0,,,,,"Named as 'Planner' in field_party_role on the NSW planning portal node record. These are NSW assessment officers, not external consultants.",VERIFIED,SRC_PORTAL_PLANNERS,high,2026-09-18
26,SSD-133677993,kc1-data-centre-kemps-creek,Shaun Williams,case_planner,0,,,,,"Named as 'Planner' in field_party_role on the NSW planning portal node record. These are NSW assessment officers, not external consultants.",VERIFIED,SRC_PORTAL_PLANNERS,high,2026-09-18
27,SSD-10101987-Mod-1,kemps-creek-data-centre-mod-1-data-hall-fit-out,Patrick Copas,case_planner,0,,,,,"Named as 'Planner' in field_party_role on the NSW planning portal node record. These are NSW assessment officers, not external consultants.",VERIFIED,SRC_PORTAL_PLANNERS,high,2026-09-18
28,SSD-10101987,kemps-creek-data-centre,Shaun Williams,case_planner,0,,,,,"Named as 'Planner' in field_party_role on the NSW planning portal node record. These are NSW assessment officers, not external consultants.",VERIFIED,SRC_PORTAL_PLANNERS,high,2026-09-18
29,SSD-128819490,kurri-kurri-data-centre,Patrick Copas,case_planner,0,,,,,"Named as 'Planner' in field_party_role on the NSW planning portal node record. These are NSW assessment officers, not external consultants.",VERIFIED,SRC_PORTAL_PLANNERS,high,2026-09-18
30,SSD-66777221,lanceley-place-data-centre-artarmon,Dave Auster,case_planner,0,,,,,"Named as 'Planner' in field_party_role on the NSW planning portal node record. These are NSW assessment officers, not external consultants.",VERIFIED,SRC_PORTAL_PLANNERS,high,2026-09-18
31,SSD-9741-Mod-1,lane-cove-west-data-centre-mod-1-fuel-storage,Patrick Copas,case_planner,0,,,,,"Named as 'Planner' in field_party_role on the NSW planning portal node record. These are NSW assessment officers, not external consultants.",VERIFIED,SRC_PORTAL_PLANNERS,high,2026-09-18
32,SSD-9741-Mod-2,lane-cove-west-data-centre-mod-2-layout-changes,Patrick Copas,case_planner,0,,,,,"Named as 'Planner' in field_party_role on the NSW planning portal node record. These are NSW assessment officers, not external consultants.",VERIFIED,SRC_PORTAL_PLANNERS,high,2026-09-18
33,SSD-9741-Mod-3,lane-cove-west-data-centre-mod-3-design-changes,Jeffrey Peng,case_planner,0,,,,,"Named as 'Planner' in field_party_role on the NSW planning portal node record. These are NSW assessment officers, not external consultants.",VERIFIED,SRC_PORTAL_PLANNERS,high,2026-09-18
34,SSD-9741-Mod-4,lane-cove-west-data-centre-mod-4-apdc-inclusion,Jeffrey Peng,case_planner,0,,,,,"Named as 'Planner' in field_party_role on the NSW planning portal node record. These are NSW assessment officers, not external consultants.",VERIFIED,SRC_PORTAL_PLANNERS,high,2026-09-18
35,SSD-9741,lane-cove-west-data-centre,Patrick Copas,case_planner,0,,,,,"Named as 'Planner' in field_party_role on the NSW planning portal node record. These are NSW assessment officers, not external consultants.",VERIFIED,SRC_PORTAL_PLANNERS,high,2026-09-18
36,SSD-10467,macquarie-park-data-centre,Patrick Copas,case_planner,0,,,,,"Named as 'Planner' in field_party_role on the NSW planning portal node record. These are NSW assessment officers, not external consultants.",VERIFIED,SRC_PORTAL_PLANNERS,high,2026-09-18
37,SSD-92743706,mamre-road-data-centre-campus,Shaun Williams,case_planner,0,,,,,"Named as 'Planner' in field_party_role on the NSW planning portal node record. These are NSW assessment officers, not external consultants.",VERIFIED,SRC_PORTAL_PLANNERS,high,2026-09-18
38,SSD-108835458,mars-road-data-centre,Jeffrey Peng,case_planner,0,,,,,"Named as 'Planner' in field_party_role on the NSW planning portal node record. These are NSW assessment officers, not external consultants.",VERIFIED,SRC_PORTAL_PLANNERS,high,2026-09-18
39,SSD-70889211,marsden-park-data-centre,Catriona Shirley,case_planner,0,,,,,"Named as 'Planner' in field_party_role on the NSW planning portal node record. These are NSW assessment officers, not external consultants.",VERIFIED,SRC_PORTAL_PLANNERS,high,2026-09-18
