id,name,legal_name,entity_type,domicile,hq_country,asx_ticker,website,notes,fact_status,source_id,confidence,as_of_date
ENT_MICROSOFT,Microsoft,,hyperscaler,United States,US,,microsoft.com,29 Australian datacentre sites across three Azure regions after the A$5bn (2023) program; A$25bn commitment to end-2029 signed alongside an MoU with the Australian Government.,REPORTED,SRC_MS2026,high,2026-09-18
ENT_AWS,Amazon Web Services,"Amazon Web Services, Inc.",hyperscaler,United States,US,,aws.amazon.com,AU$20bn 2025-2029 infrastructure commitment; Sydney and Melbourne regions.,REPORTED,SRC_AWS2025,high,2026-09-18
ENT_GOOGLE,Google,Google LLC / Alphabet Inc.,hyperscaler,United States,US,,google.com,Named counterparty to the AirTrunk-OX2 renewable arrangement (Dec 2023). Australian site-level footprint not yet verified in this release - see research_gaps.,REPORTED,SRC_AIRTRUNK_PPA,medium,2026-09-18
ENT_META,Meta,,hyperscaler,United States,US,,meta.com,Project Waterworth subsea cable proponent with an Australian landing point; domestic data centre footprint unverified in this release.,REPORTED,SRC_METACABLE,medium,2026-09-18
ENT_OPENAI,OpenAI,,ai_lab,United States,US,,openai.com,"'OpenAI for Countries' / Stargate program; plans to help plan, build, run and buy compute from the NEXTDC S7 campus in Sydney.",REPORTED,SRC_REUTERS_S7,high,2026-09-18
ENT_ANTHROPIC,Anthropic,,ai_lab,United States,US,,anthropic.com,Reported prospective user of part of Western Downs Digital Park (Qld) and of a 5-20 GW Australian build. Not confirmed by a primary source at time of writing.,CLAIMED,SRC_SUPCHAIN,low,2026-09-18
ENT_AIRTRUNK,AirTrunk,,colocation_operator,United States (Blackstone-controlled),AU,,airtrunk.com,"Founded in Australia; acquired for A$24bn by a Blackstone-led consortium with CPP Investments (12%), completed 23 December 2024 after FIRB process. Hyperscale campuses in Sydney, Melbourne and Perth; three HCF Certified Strategic facilities (SYD1 Huntingwood, SYD2 Lane Cove, MEL1 Derrimut). Reported prospective buyer of the 1-1.2 GW Mamre Road campus, whose named proponent is the KNBDC SYD4 trust stack. INFLUENCE POSITION: joined the Business Council of Australia in or around May 2025 and its founder-CEO Robin Khuda was appointed to the BCA Board on 27 June 2025, alongside Telstra CEO Vicki Brady - so a company majority-owned by a US private equity firm has a seat on the board of Australia's most powerful general business peak body, whose board also carries the CEOs of Telstra, CBA, Wesfarmers, Google Australia and BHP Australia. The BCA's submission to the NSW data centres inquiry lists AirTrunk FIRST among the companies that build and operate facilities in Australia, and uses AirTrunk as its only named example of recycled water use. EMISSIONS POSITION: AirTrunk Australia Holding Pty Ltd reported location-based scope 2 of 553,344 t CO2-e in 2024-25, up 485% from 94,528 t in 2019-20, with scope 1 up from 132 t to 4,165 t; it does not appear in the CER's market-based scope 2 table in either published year and holds no account in the REC Registry LGC holdings snapshot. Its '100% renewable energy by 2025' claim is recorded as CONTRADICTED as a statement about Australian operations.",VERIFIED,SRC_AIRTRUNK_BCA,high,2026-09-18
ENT_NEXTDC,NEXTDC,,colocation_operator,Australia,AU,NXT,nextdc.com,ASX-listed; 13 HCF Certified Strategic sites across all mainland capitals plus Darwin; S7 Eastern Creek is the OpenAI-anchored 612 MW project.,REPORTED,SRC_REUTERS_S7,high,2026-09-18
ENT_CDC,CDC Data Centres,,colocation_operator,Australia / New Zealand,AU,,cdc.com,"2.5 GW across operational, construction and development pipeline; sovereign-ownership deal February 2025 kept control with Infratil, the Future Fund and CSC; enterprise value ~$17bn.",REPORTED,SRC_CDC2025,high,2026-09-18
ENT_EQUINIX,Equinix,,colocation_operator,United States,US,,equinix.com,"10 HCF Certified Strategic Enclaves plus one Strategic Facility across Sydney, Melbourne, Canberra and Perth; hosts cloud on-ramps and the Southern Cross NEXT gateway.",REPORTED,SRC_CERTSTRAT,medium,2026-09-18
ENT_DIGITALREALTY,Digital Realty,,colocation_operator,United States,US,,digitalrealty.com,"Four HCF Certified Strategic Enclaves: SYD10, SYD11 and SYD14 at Erskine Park and MEL11 at Deer Park.",REPORTED,SRC_CERTSTRAT,medium,2026-09-18
ENT_MACQUARIE_TG,Macquarie Technology Group,,colocation_operator,Australia,AU,MAQ,macquarietechnologygroup.com,"Five HCF Certified Strategic sites (IC1-IC3 Sydney, IC4-IC5 Fairbairn ACT); the only vertically integrated certified facility plus certified sovereign cloud stack.",REPORTED,SRC_CERTSTRAT,medium,2026-09-18
ENT_DCI,DCI Data Centers,,colocation_operator,Australia,AU,,dcidatacenters.com,"Single HCF Certified Strategic Enclave, SYD-01 Eastern Creek.",REPORTED,SRC_CERTSTRAT,medium,2026-09-18
ENT_CLOUDCARRIER,Cloud Carrier,,developer,Australia,AU,,cloudcarrier.com.au,"Proposes the Southern Highlands Data Campus at Moss Vale, with an attached 673 MW fossil-gas power station; already holds council permission for a 14 MW gas unit.",REPORTED,SRC_GREENPEACE_SUB,medium,2026-09-18
ENT_ZERRA,Zerra DC,Zerra DC Operator (Australia) Pty Ltd and related entities,developer,Unknown; the Australian group is registered in NSW 2000 (Sydney CBD). Secondary reporting describes the developer as Singapore-based and owned by investment firm AGP; neither appears in the lodged application or on the ABR.,,,,"Australian corporate stack resolved from the ABR on 18 September 2026, all NSW 2000: Zerra WDDP Manager Australia Pty Ltd (5 Feb 2025, no GST); Zerra Investments Australia Pty Ltd (17 Apr 2025, GST 16 Jul 2025); Zerra DC Operator (Australia) Pty Ltd (25 Nov 2025, GST 1 May 2026, business name 'Zerra DC' on the same ABN); Zerra Operator FinCo Pty Ltd (5 Aug 2026, GST same day); Zerra WDDP Asset Manager Pty Ltd (10 Aug 2026, no GST); Zerra WDDP Investments AU Pty Ltd (10 Aug 2026, no GST). The FinCo and the two project SPVs were incorporated within nine days of each other in August 2026, immediately before the application was dated and lodged. 'Zerra' and 'AGP' appear nowhere in the lodged Town Planning Report, whose named instructing party is WDDP Pty Ltd. Ownership by AGP and the 'Singapore-based' characterisation rest on trade press only and remain unverified - research gap RG-050.",VERIFIED,SRC_ABR_ZERRA,medium,2026-09-18
ENT_TELSTRA,Telstra,,telecom,Australia,AU,TLS,,Two HCF certified sites: Deakin (ACT) Strategic Enclave and St Leonards (NSW) Strategic Enclave.,REPORTED,SRC_CERTSTRAT,medium,2026-09-18
ENT_VANTAGE,Vantage Data Centers,,developer,United States,US,,vantage.com,Placeholder: Australian sites not yet mapped in this release. AustralianSuper holds a significant minority stake in Vantage Data Centers Europe (2023) - relevant to Pillar B capital tracing.,GAP,SRC_CERTSTRAT,low,2026-09-18
