firm,agency,contract_title,value_aud,portal,portal_id,method_of_tendering,contract_start,contract_end,is_duplicate_of,fact_status,confidence,source_url
Tata Consultancy Services Limited,Transport for NSW,CW2307478 - Transport Equip Centre of Excellence (Maintain and Operate Services),118312700.0,buy.nsw,CAN-100812,Direct negotiation,2018-03-29,2027-06-30,,VERIFIED,high,https://buy.nsw.gov.au/notices/6BD465F8-5DCF-4433-A0495C518C94EE38
Tata Consultancy Services Limited,Transport for NSW,Operation and Maintenance of Transport Equipment Centre of Excellence,118312700.0,aggregator,govmarket/tecoe,Direct negotiation,2018-03-29,2027-06-30,1,VERIFIED,high,https://govmarket.com.au/contract/operation-and-maintenance-of-transport-equipment-centre-of-excellence-by-tata-consultancy-services
Tata Consultancy Services Limited,Reserve Bank of Australia,CoreMod System Integration for Application Migrations,14000000.0,aggregator,govmarket/rba-coremod,,,,,REPORTED,medium,https://govmarket.com.au/supplier/tata-consultancy-services
Tata Consultancy Services Limited,Reserve Bank of Australia,Professional Services for Cloud Build Capability,2000000.0,aggregator,govmarket/rba-cloud,,,,,REPORTED,medium,https://govmarket.com.au/supplier/tata-consultancy-services
Tata Consultancy Services Limited,Transport for NSW,Professional Services Provided to Transport for NSW,1100000.0,aggregator,govmarket/tfnsw-ps-2025,,,,,REPORTED,medium,https://govmarket.com.au/supplier/tata-consultancy-services
Tata Consultancy Services Limited,Transport for NSW,Defect Fix Services for OneStream Solution,1100000.0,aggregator,govmarket/onestream-defect,,,,,REPORTED,medium,https://govmarket.com.au/supplier/tata-consultancy-services
Tata Consultancy Services Limited,Department of Defence,Industry Benchmarking Services,1100000.0,aggregator,govmarket/defence-benchmark,,,,,REPORTED,medium,https://govmarket.com.au/supplier/tata-consultancy-services
Tata Consultancy Services Limited,Transport for NSW,Azure EiPaaS Platform Services,829000.0,aggregator,govmarket/azure-eipaas,,,,,REPORTED,medium,https://govmarket.com.au/supplier/tata-consultancy-services
Tata Consultancy Services Limited,Transport for NSW,SAP Fiori Forms Delivery Services,570000.0,aggregator,govmarket/sap-fiori,,,,,REPORTED,medium,https://govmarket.com.au/supplier/tata-consultancy-services
Tata Consultancy Services Limited,Melbourne Water,SolarWinds and ServiceNow Tools Support,370000.0,aggregator,govmarket/mw-solarwinds-sn,,,,,REPORTED,medium,https://govmarket.com.au/supplier/tata-consultancy-services
Tata Consultancy Services Limited,Transport for NSW,Professional Services for OneStream Solution,350000.0,aggregator,govmarket/onestream-ps,,,,,REPORTED,medium,https://govmarket.com.au/supplier/tata-consultancy-services
Tata Consultancy Services Limited,Melbourne Water,DR Infra Build - Phase 2,289000.0,aggregator,govmarket/mw-dr2,,,,,REPORTED,medium,https://govmarket.com.au/supplier/tata-consultancy-services
Tata Consultancy Services Limited,Transport for NSW,Professional Services for OneStream Solution (second award),285000.0,aggregator,govmarket/onestream-ps2,,,,,REPORTED,medium,https://govmarket.com.au/supplier/tata-consultancy-services
Tata Consultancy Services Limited,NSW Electoral Commission,Software Licensing,239000.0,aggregator,govmarket/nswec-lic,,,,,REPORTED,medium,https://govmarket.com.au/supplier/tata-consultancy-services
Tata Consultancy Services Limited,Melbourne Water,Citrix Upgrade,209000.0,aggregator,govmarket/mw-citrix,,,,,REPORTED,medium,https://govmarket.com.au/supplier/tata-consultancy-services
Tata Consultancy Services Limited,Melbourne Water,GIS Consultant T&M Engagement,197000.0,aggregator,govmarket/mw-gis,,,,,REPORTED,medium,https://govmarket.com.au/supplier/tata-consultancy-services
Tata Consultancy Services Limited,Melbourne Water,M365 OneDrive and SharePoint Platform Level 2 Infrastructure Support,192000.0,aggregator,govmarket/mw-m365,,,,,REPORTED,medium,https://govmarket.com.au/supplier/tata-consultancy-services
Tata Consultancy Services Limited,Department of Customer Service,Office 365 Environment Setup for MoG GSS,189000.0,aggregator,govmarket/o365-mog,,,,,REPORTED,low,https://govmarket.com.au/supplier/tata-consultancy-services
Tata Consultancy Services Limited,Melbourne Water,SolarWinds Phase 2 Implementation,157000.0,aggregator,govmarket/mw-solarwinds2,,,,,REPORTED,medium,https://govmarket.com.au/supplier/tata-consultancy-services
Tata Consultancy Services Limited,Melbourne Water,Project Manager Services for Cyber Security Initiatives,140000.0,aggregator,govmarket/mw-cyberpm,,,,,REPORTED,medium,https://govmarket.com.au/supplier/tata-consultancy-services
Tata Consultancy Services Limited,Department of the Prime Minister and Cabinet,ICT Contractor Services,135000.0,aggregator,govmarket/pmc-ict,,,,,REPORTED,medium,https://govmarket.com.au/supplier/tata-consultancy-services
Tata Consultancy Services Limited,Melbourne Water,Project Manager for Network Zone Model Refinement Project,135000.0,aggregator,govmarket/mw-netzone,,,,,REPORTED,medium,https://govmarket.com.au/supplier/tata-consultancy-services
Tata Consultancy Services Limited,Melbourne Water,End-of-Life Hardware Replacement,105000.0,aggregator,govmarket/mw-eol,,,,,REPORTED,medium,https://govmarket.com.au/supplier/tata-consultancy-services
