state,market,status,n_sites,mw_sum,capex_aud_bn
ACT,NEM,operational,5,0.0,0.0
Multi,Multi,operational,1,0.0,0.0
Multi,Multi,under_construction,1,0.0,0.0
NSW,NEM,lodged,18,3092.3,12.6
NSW,NEM,approved,24,1805.0,0.0
NSW,NEM,pre_lodgement,8,1007.4,0.0
NSW,NEM,operational,14,190.0,1.3
NSW,NEM,withdrawn,3,40.0,0.0
NSW,NEM,under_construction,1,0.0,0.26
NT,NT,operational,1,0.0,0.0
QLD,NEM,lodged,1,2160.0,31.9
QLD,NEM,rumoured,1,0.0,0.0
SA,NEM,operational,1,0.0,0.0
VIC,NEM,pre_lodgement,1,2400.0,0.0
VIC,NEM,approved,2,162.0,2.0
VIC,NEM,under_construction,1,150.0,2.7
VIC,NEM,lodged,1,0.0,0.0
VIC,NEM,operational,5,0.0,0.0
VIC,NEM,rumoured,1,0.0,0.0
WA,WEM,rumoured,1,1000.0,0.0
WA,WEM,operational,2,0.0,0.0
