slug,node_id,title,case_id,stage,case_type,decision,determination_date,determination_authority,development_type,industry,lga,mw_mentions_in_description,description,n_attachments
200-aldington-mod-8-amendments-road-upgrade-works-and-timing,155246596,200 Aldington MOD 8 Amendments to Road Upgrade Works and Timing,SSD-10479-Mod-8,Recommendation,SSD Modifications,,,,Warehouse or distribution centres,Transport & Logistics,Penrith,,,48
51-huntingwood-drive-data-centre-mod-2-design-updates,131900546,51 Huntingwood Drive Data Centre MOD 2 - Design Updates,SSD-41589232-Mod-2,Determination,SSD Modifications,Approved,2026-08-28,Team Leader,Data Storage,Water and Telecommunications,Blacktown,,,49
dexus-estate-mod-7-data-centre-site-layout,15864321,DEXUS Estate - Mod 7 - Data Centre Site Layout,MP08_0259-Mod-7,Determination,SSD Modifications,Approved,2022-09-30,Team Leader,Warehouse or distribution centres,Transport & Logistics,Blacktown; Cumberland; Fairfield,,,20
davis-rd-data-centre-mod-1-tree-removal-correction,108902671,Davis Rd Data Centre MOD 1 - Tree Removal Correction,SSD-59416728-Mod-1,Determination,SSD Modifications,Approved,2025-08-15,Team Leader,Data Storage,Water and Telecommunications,Fairfield City,,,35
eastern-creek-data-centre-mod-2-power-consumption-increase,118484621,Eastern Creek Data Centre - Mod 2 - Power consumption increase,SSD-21342738-Mod-2,Determination,SSD Modifications,Approved,2026-08-05,Team Leader,Warehouse or distribution centres,Transport & Logistics,Blacktown,,,82
kemps-creek-data-centre-mod-1-data-hall-fit-out,83014011,Kemps Creek Data Centre MOD 1 - Data Hall Fit-Out,SSD-10101987-Mod-1,Determination,SSD Modifications,Approved,2024-11-18,Team Leader,Warehouse or distribution centres,Transport & Logistics,Penrith,,,25
lane-cove-west-data-centre-mod-1-fuel-storage,2465471,Lane Cove West Data Centre MOD 1 - Fuel Storage,SSD-9741-Mod-1,Determination,SSD Modifications,Approved,2020-04-14,Director,Warehouse or distribution centres,Transport & Logistics,Lane Cove,,,78
lane-cove-west-data-centre-mod-2-layout-changes,2610911,Lane Cove West Data Centre MOD 2 - Layout Changes,SSD-9741-Mod-2,Determination,SSD Modifications,Approved,2020-12-16,Executive Director,Warehouse or distribution centres,Transport & Logistics,Lane Cove,,,71
lane-cove-west-data-centre-mod-3-design-changes,47969806,Lane Cove West Data Centre MOD 3 - Design Changes,SSD-9741-Mod-3,Determination,SSD Modifications,Approved,2024-06-13,Director,Warehouse or distribution centres,Transport & Logistics,Lane Cove,,,115
lane-cove-west-data-centre-mod-4-apdc-inclusion,105742776,Lane Cove West Data Centre MOD 4 - APDC Inclusion,SSD-9741-Mod-4,Determination,SSD Modifications,Approved,2025-10-09,Team Leader,Warehouse or distribution centres,Transport & Logistics,Lane Cove,,,34
mod-3-lanceley-place-data-centre-fire-access-and-switchroom,137228921,Mod 3 - Lanceley Place Data Centre - Fire access and Switchroom,SSD-66777221-Mod-3,Determination,SSD Modifications,Approved,2026-08-11,Team Leader,Data Storage,Water and Telecommunications,Willoughby City,,,28
modification-1-51-huntingwood-drive-data-centre-reduced-scale,97293971,Modification 1 51 Huntingwood Drive Data Centre - Reduced Scale,SSD-41589232-Mod-1,Withdrawn,SSD Modifications,,,,Data Storage,Water and Telecommunications,Blacktown,,,149
modification-2-lanceley-place-data-centre,116702306,Modification 2 - Lanceley Place Data Centre,SSD-66777221-Mod-2,Determination,SSD Modifications,Approved,2026-04-14,Team Leader,Data Storage,Water and Telecommunications,Willoughby City,,,58
roberts-road-dc-mod-2-additional-back-generators-and-diesel-storage,84506726,Roberts Road DC MOD 2 - Additional back-up generators and diesel storage,SSD-10330-Mod-2,Determination,SSD Modifications,Approved,2026-03-06,Team Leader,Warehouse or distribution centres,Transport & Logistics,Blacktown,,,101
roberts-road-dc-mod-4-changes-operational-infrastructure,159614771,Roberts Road DC MOD 4 - Changes to Operational Infrastructure,SSD-10330-Mod-4,Prepare Mod Report,SSD Modifications,,,,Warehouse or distribution centres,Transport & Logistics,Blacktown,,,36
roberts-road-data-centre-mod-1-height-increase,64864191,Roberts Road Data Centre MOD 1 - Height Increase,SSD-10330-Mod-1,Determination,SSD Modifications,Approved,2024-04-17,Team Leader,Warehouse or distribution centres,Transport & Logistics,Blacktown,,,42
talavera-road-data-centre-mod-1-expansion,76900131,Talavera Road Data Centre MOD 1 - Expansion,SSD-24299707-Mod-1,Determination,SSD Modifications,Approved,2024-12-19,Team Leader,Data Storage,Water and Telecommunications,City of Ryde,,,60
