project,attachment_slug
1-5-khartoum-road-data-centre,request-industry-specific-sears-v2-77
1-5-khartoum-road-data-centre,request-industry-specific-sears-325
1-5-khartoum-road-data-centre,request-sears20231010041802-77
1-5-khartoum-road-data-centre,environmental-impact-statement-14712
1-5-khartoum-road-data-centre,appendix-sears-compliance-table-7510
1-5-khartoum-road-data-centre,appendix-b-statutory-compliance-table-6043
1-5-khartoum-road-data-centre,appendix-c-community-engagement-summary-table-41
1-5-khartoum-road-data-centre,appendix-d-mitigation-measures-table-1083
1-5-khartoum-road-data-centre,appendix-e-architectural-plans-1099
1-5-khartoum-road-data-centre,appendix-f-architectural-design-report-1245
1-5-khartoum-road-data-centre,appendix-h-landscape-plans-468
1-5-khartoum-road-data-centre,appendix-i-landscape-design-report-510
1-5-khartoum-road-data-centre,appendix-j-air-quality-impact-assessment-382
1-5-khartoum-road-data-centre,appendix-k-noise-and-vibration-impact-assessment-475
1-5-khartoum-road-data-centre,appendix-l-infrastructure-requirement-and-utilities-repor-41
1-5-khartoum-road-data-centre,appendix-m-social-impact-assessment-748
1-5-khartoum-road-data-centre,appendix-n-detailed-site-investigation-221
1-5-khartoum-road-data-centre,appendix-o-geotechnical-investigation-212
1-5-khartoum-road-data-centre,appendix-p-arboricultural-impact-assessment-504
1-5-khartoum-road-data-centre,appendix-q-bca-compliance-report-60
1-5-khartoum-road-data-centre,appendix-r-dda-accessibility-report-41
1-5-khartoum-road-data-centre,appendix-s-transport-and-accessibility-impact-assessment-264
1-5-khartoum-road-data-centre,appendix-t-operational-waste-management-plan-86
1-5-khartoum-road-data-centre,appendix-u-cwdmp-41
1-5-khartoum-road-data-centre,appendix-v-water-management-plan-199
1-5-khartoum-road-data-centre,appendix-w-acharredacted-41
1-5-khartoum-road-data-centre,appendix-x-draft-letter-offer-57
1-5-khartoum-road-data-centre,appendix-y-bdar-waiver-determination-ssd-63235720-41
1-5-khartoum-road-data-centre,appendix-z-community-engagement-outcomes-report-41
1-5-khartoum-road-data-centre,appendix-aa-heritage-impact-statement-407
1-5-khartoum-road-data-centre,appendix-bb-flood-impact-risk-assessment-41
1-5-khartoum-road-data-centre,appendix-cc-esd-report-301
1-5-khartoum-road-data-centre,appendix-dd-hazards-and-risk-report-58
1-5-khartoum-road-data-centre,appendix-ee-site-survey-97
1-5-khartoum-road-data-centre,appendix-ff-visual-impact-assessment-170
1-5-khartoum-road-data-centre,appendix-gg-environmental-wind-assessment-report-41
1-5-khartoum-road-data-centre,appendix-w-aboriginal-cultural-heritage-assessment-report-154
1-5-khartoum-road-data-centre,appendix-hh-greenhouse-gas-and-nabers-41
1-5-khartoum-road-data-centre,appendix-g-esimated-development-cost-41
1-5-khartoum-road-data-centre,ssd-notice-decision-134
1-5-khartoum-road-data-centre,signed-ssd-determination-instrument-4
1-5-khartoum-road-data-centre,ssd-assessment-report-168
1-5-khartoum-road-data-centre,ssd-63235720-notice-determination-not-required
1-5-khartoum-road-data-centre,ssd-63235720-notice-determination-letter-submitter
1-5-khartoum-road-data-centre,ssd-63235720-notice-determination-letter-applicant
