project,case_id,determination_date,date_source,registered_portal,signed_to_registered_days,determination_authority_portal,consent_authority,signatory_name,signatory_title,acting,delegation_of,delegation_executed,file_ref,case_officer,case_officer_case_id,era,strictness_index,guidelines_cited,parse_note
dicker-data-warehouse-and-distribution-centre,SSD8662,2019-04-12,portal-node-metadata,2019-04-12,0,Executive Director,Minister for Planning,Anthea Sargeant,Executive Director / Key Sites and Industry Assessments,0,Minister for Planning,2017-10-11,DOC18/721211,Chloe Dunlop,SSD-8662,pre_guidelines,0,,
lane-cove-west-data-centre,SSD-9741,2019-11-15,portal-node-metadata,2019-11-15,0,Executive Director,Minister for Planning and Public Spaces,Anthea Sargeant,"Executive Director / Compliance, Industry and Key Sites",0,Minister for Planning and Public Spaces,2017-10-11,EF19/4251,Patrick Copas,SSD-9741,pre_guidelines,1,,
roberts-road-data-centre,SSD-10330,2020-07-14,instrument:cover:'<date> File:<ref>',2020-07-14,0,Executive Director,Minister for Planning and Public Spaces,Anthea Sargeant,"Executive Director / Regions, Industry and Key Sites",0,Minister for Planning and Public Spaces,2020-03-09,EF19/17436,Patrick Copas,SSD-10330,pre_guidelines,4,,
macquarie-park-data-centre,SSD-10467,2021-05-28,instrument:cover:'<date> File:<ref>',2021-05-28,0,Director,Minister for Planning and Public Spaces,Chris Ritchie,Director / Industry Assessments,0,Minister for Planning and Public Spaces,2021-04-26,EF20/22600,Patrick Copas,SSD-10467,pre_guidelines,4,,
station-road-data-centre-expansion,SSD-33781208,2022-12-16,instrument:cover:'<date> File:<ref>',2022-12-16,0,Director,Minister for Planning,Chris Ritchie,Director / Industry Assessments,0,Minister for Planning,2022-03-09,EF21/18706,Patrick Copas,SSD-33781208,pre_guidelines,2,,
51-huntingwood-drive-data-centre,SSD-41589232,2023-09-15,instrument:cover:'Sydney <date>',2023-09-15,0,Director,Minister for Planning and Public Spaces,Chris Ritchie,Director / Industry Assessments,0,Minister for Planning and Public Spaces,2022-03-09,,Shaun Williams,SSD-41589232,pre_guidelines,4,,
talavera-road-data-centre-campus-expansion,SSD-24299707,2024-01-19,portal-node-metadata,2024-01-19,0,IPC-N,NSW Independent Planning Commission,[Name of Commissioner],,0,"Independent Planning Commission - declared consent authority under clause 8A of State 
Environmental Planning Policy (State and Region",,EF21/10619,Joanna Bakopanos,SSD-24299707,pre_guidelines,2,,
project-echidna-data-centre-eastern-creek,SSD-47320208,2024-04-05,instrument:cover:'Sydney <date>',2024-04-05,0,Executive Director,NSW Independent Planning Commission,Chris Ritchie,"A/Executive Director / Energy, Resources and Industry Assessments",1,NSW Independent Planning Commission (the Commission),2022-06-14,,Shaun Williams,SSD-47320208,pre_guidelines,2,,
grand-avenue-data-centre-expansion-rosehill,SSD-53338465,2024-12-16,instrument:cover:'<date> File:<ref>',2024-12-16,0,Director,Minister for Planning and Public Spaces,Joanna Bakopanos,A/Director / Industry Assessments,1,Minister for Planning and Public Spaces,2022-03-09,EF23/341,Thomas Bertwistle,SSD-53338465,pre_guidelines,4,,
davis-road-data-centre-cundall,SSD-59416728,2024-12-20,instrument:cover:'<date> File:<ref>',2024-12-20,0,Director,Minister for Planning and Public Spaces,Joanna Bakopanos,A/Director / Industry Assessments,1,Minister for Planning and Public Spaces,2022-03-09,EF23/7568,Shaun Williams,SSD-59416728,pre_guidelines,2,,
davis-rd-data-centre-mod-1-tree-removal-correction,SSD-59416728,2025-08-15,instrument:cover:'<date> File:<ref>',2025-08-15,0,Team Leader,Minister for Planning and Public Spaces,Catriona Shirley,A/Team Leader / Industry Assessments,1,Minister for Planning and Public Spaces,2022-03-09,EF25/10654,Dave Auster,SSD-59416728-Mod-1,pre_guidelines,0,,
apollo-place-data-centre,SSD-67407231,2025-10-09,instrument:cover:'<date> File:<ref>',2025-10-09,0,Director,Minister for Planning and Public Spaces,Joanna Bakopanos,"A/Director, Industry Assessments",1,Minister for Planning and Public Spaces,2022-03-09,EF24/1723,Jeffrey Peng,SSD-67407231,pre_guidelines,3,,
dci-poplars-data-centre-project-0,SSD-64287712,2025-11-06,instrument:cover:'<date> File:<ref>',2025-11-06,0,Director,Minister for Planning and Public Spaces,Joanna Bakopanos,A/Director / Industry Assessments,1,Minister for Planning and Public Spaces,2022-03-09,EF23/15259,Patrick Copas,SSD-64287712,pre_guidelines,5,,
43-61-turner-road-data-centre,SSD-68013714,2025-11-21,instrument:cover:'Sydney <date>',2025-11-21,0,Director,Minister for Planning and Public Spaces,Joanna Bakopanos,A/Director / Industry Assessments,1,Minister for Planning and Public Spaces,2022-03-09,,Shaun Williams,SSD-68013714,pre_guidelines,5,,
digico-syd1-data-centre-expansion,SSD-69637456,2025-12-23,instrument:cover:'Sydney <date>',2025-12-23,0,Executive Director,Minister for Planning and Public Spaces,Chris Ritchie,"Executive Director / Energy, Resources and Industry Assessments",0,Minister for Planning and Public Spaces,2022-03-09,,Shaun Williams,SSD-69637456,pre_guidelines,6,,
nextdc-s4-data-centre-horsley-park,SSD-63741210,2025-12-24,instrument:cover:'Sydney <date>',2025-12-24,0,Executive Director,Minister for Planning and Public Spaces,Chris Ritchie,"Executive Director / Energy, Resources and Industry Assessments",0,Minister for Planning and Public Spaces,2022-03-09,,Shaun Williams,SSD-63741210,pre_guidelines,9,,
1-5-khartoum-road-data-centre,SSD-63235720,2026-03-11,instrument:cover:'<date> File:<ref>',2026-03-11,0,Director,Minister for Planning and Public Spaces,Joanna Bakopanos,A/Director / Industry Assessments,1,Minister for Planning and Public Spaces,2022-03-09,EF23/14121,Shaun Williams,SSD-63235720,pre_guidelines,6,,
project-pluto-data-centre,SSD-69223466,2026-07-23,instrument:cover:'<date> File:<ref>',2026-07-23,0,Director,Minister for Planning and Public Spaces,Joanna Bakopanos,A/Director / Industry Assessments,1,Minister for Planning and Public Spaces,2022-03-09,EF24/4596,Shaun Williams,SSD-69223466,pre_guidelines,11,,
project-apollo-data-centre-macquarie-park,SSD-74069708,2026-09-02,instrument:cover:'<date> File:<ref>',2026-09-02,0,Director,Minister for Planning and Public Spaces,Joanna Bakopanos,Acting Director / Industry Assessments,1,Minister for Planning and Public Spaces,2026-08-18,EF24/11318,Patrick Copas,SSD-74069708,post_guidelines,11,,
glendenning-road-data-centre,SSD-73761707,2026-09-14,instrument:cover:'<date> File:<ref>',2026-09-16,2,Director,Minister for Planning and Public Spaces,Joanna Bakopanos,A/Director / Industry Assessments,1,Minister for Planning and Public Spaces,2026-08-18,EF24/10658,Shaun Williams,SSD-73761707,post_guidelines,14,,
